,날짜,제목,요약
0,2018.11.10.,"국제유가, '34년래 최장' 열흘째 하락…WTI 0.8%↓",'이란 제재'발 수급부담 완화 속 美공급증가 부담 이준서 특파원 = 국제유가가 10거래일 연속 하락세를 이어갔다. 9일(현지시간) 뉴욕상품거래소(NYMEX)에서 12월 인도분 서부 텍사스산 원유(WTI)는 전날보다...
1,2018.11.10.,국제유가·유류세 인하 효과…국내 휘발유 가격 본격 하락,(사진=연합뉴스)[이데일리 남궁민관 기자] 전국 휘발유 값이 국제유가와 유류세 인하 효과로 큰 폭 하락했다. 각 주유소 재고가 모두 소진되고 유류세 인하 적용 제품이 본격적으로 시장에 풀리기 시작하면 휘발유...
2,2018.11.09.,"국제유가, 한달만에 20.4% 하락…""약세장 진입""",국제유가가 미국의 대(對) 이란 제재 복원 이후에도 연일 하락세를 이어나가면서 이른바 '약세장(Bear Market)'에 진입했다고 8일(현지시간) 월스트리트저널(WSJ) 등 주요 외신들이 보도했다. 약세장은 일반적으로 고점...
3,2018.11.10.,"휘발유·경유 19주만에 하락, 유류세 인하·국제유가 하락 영향",유류세 인하 효과가 시차를 두고 주유소 판매가격에 계속 반영되고 있는데다 최근 들어 국제유가도 하락하면서 당분간 기름값은 안정세를 유지할 것으로 보인다. 10일 한국석유공사 유가정보 서비스인...
4,2018.11.10.,"뉴욕증시, 유가하락·글로벌 경제 둔화 우려… 다우 0.77% 하락 마감",중간선거 전후로 증시가 가파르게 올랐던 만큼 기존 잠재된 악재에도 투자심리가 민감하게 반응했다.최근 심상찮은 국제 유가 급락과 중국 경제에 대한 끊임없는 우려가 전 세계 경제에 먹구름을 드리웠다. 12월물...
5,2018.11.10.,[국제유가] WTI 8개월 만에 최저치..초과 공급 우려,뉴욕 유가는 초과 공급 우려로 하락세를 지속하며 이번주 5% 가까이 급락했다. 9일 뉴욕상업거래소에서... 베스코프 인베스트먼트 그룹은 1983년 이후 9거래일 연속보다 더 길게 유가가 하락한 적은 없었기 때문에 이번...
6,2018.11.09.,"국제유가, 주요 산유국 증산 우려에 하락",김민정 특파원 = 국제유가가 8일(현지시간) 하락했다. 투자자들이 증가하는 원유 공급으로 초점을 옮기면서 유가는 계속해서 하락 압력을 받았다. 미국산 원유 가격은 장중 약세장으로 진입했다. 원유 채굴장비[사진...
7,2018.11.09.,"국제유가 고점 대비 20% 하락…""약세장 진입""",국제유가가 약 한달새 20%나 하락하며 약세장(베어 마켓)의 문턱에 다가섰다. 8일(현지시간) 마켓워치에 따르면 이날 뉴욕상업거래소(NYMEX)에서 12월 인도분 서부텍사스산원유(WTI)는 전일 대비 1.62%(1.00 달러)...
8,2018.11.08.,"국제유가 하락 지속, 8개월 만에 최저…WTI 0.9%↓","국제유가가 하락세를 이어갔습니다. 오늘(8일) 뉴욕 거래소에서 다음 달 인도분 서부 텍사스산 원유는 1배럴에 0.9%, 0.54달러 떨어진 61.67달러에 거래를 마쳤습니다. 이는 지난 3월 중순 이후 8개월 만에 가장 낮은..."
9,2018.11.09.,유가 한달새 20% 뚝,국제유가가 '약세장'에 진입했다. 공급 초과 우려 탓이다. 8일(현지시간) 뉴욕상업거래소에서 거래된 12월물 서부텍사스산원유(WTI) 가격이 배럴당 1.0달러(1.6%) 하락한 60.67달러에 장을 마감했다. 지난달 3일 기록한 최근...
