,날짜,제목,요약
0,2020.01.10.,"국제유가, 이란 위기 진정 속 숨고르기…WTI 0.08%↓",이준서 특파원 = 국제유가는 9일(현지시간) 보합권에 머물렀다. 이날 뉴욕상업거래소(NYMEX)에서 2월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 0.08%(0.05달러) 내린 59.56달러에 거래를 마쳤다. 런던 ICE...
1,2020.01.09.,중동 위기 진정 기미에 국제 유가·금값 하락,"이란의 제한적 도발, 도널드 트럼프 미국 대통령의 확전 자제 연설에 힘입어 중동 지역의 전쟁 위기가 수그러들면서 8일(현지시간) 국제 유가와 국제 금값이 급락했다. 이날 뉴욕상업거래소(NYMEX)에서 2월 인도분..."
2,2020.01.10.,60弗선 붕괴된 국제유가…이란 위기 진정되나,국제유가가 일제히 급락하며 60달러 선이 붕괴됐다. 미국과 이란간 갈등이 일단락되면서 원유시장이 안정세를 보이는 모양새다. 9일 (현지시간) 뉴욕상업거래소(NYMEX)에서 2월 인도분 서부 텍사스산 원유(WTI)는 전날보다...
3,2020.01.10.,"[현장연결] 홍남기 ""국내 유가 환율 안정…교민·근로자 피해도 없어""","""최근 중동사태와 관련 전체적으로 교민의 안전, 금융시장, 국제유가, 실물경제 등 관련되는 모든 분야에서 나타날 수 있는 파급 영향과 정부의 조치들을 종합적으로 진단, 점검하고 향후 발생 가능한 리스크 요인과 대응..."
4,2020.01.09.,美·이란 갈등에 유가 널뛰기... 원유 ETN·ETF에 몰리는 투자자,"국제 유가가 하락한다는 소식에 유가가 하락하면 수익을 두 배 내는 유가 인버스 레버리지 ETN 상품을 주목한 것이다. 염씨는 ""유가 관련 ETN을 매수하기 위해 오늘 투자성향 등급도 상향했다""면서 ""유가 변동성이..."
5,2020.01.09.,미-이란 위기완화에 국제유가 급락…WTI 4.9%↓,도널드 트럼프 미국 대통령이 이란에 대한 추가 군사력 사용 가능성을 배제하면서 국제유가가 급락했다. 8일(현지시간) 뉴욕상업거래소(NYMEX)에서 서부텍사스산 원유(WTI) 2월물은 3.09달러(4.9%)하락해 배럴당 59....
6,2020.01.09.,"이란발 위기 진정, 美 증시 일제히 상승…유가·금값 급락","폭격으로 인해 미국인 사상자가 발생하지 않은 데다, 유가 급등을 촉발할 수 있는 원유 관련 시설 등에... 불안심리가 완화하면서 국제금값도 하락세로 돌아섰다. 이날 뉴욕상품거래소에서 2월 인도분 금은 전날보다..."
7,2020.01.08.,"산업부 ""국제유가 상승세…국내 가격 부당인상 제지""",8일(현지시간) 이란 혁명수비대가 사령관 피격 사망에 따른 이라크 미군기지를 보복 공격한 가운데 정부는 국제유가 상승에 따른 긴급회의를 소집하고 석유·가스 수급 상황을 재점검한다. 산업통상자원부는 이날 오전...
8,2020.01.09.,[글로벌 경제] 미-이란 갈등 봉합되나…국제유가 ‘하락’·美증시 ‘상승’,"국제유가가 떨어지고, 미 주가는 상승하는 등 금융·상품시장이 안정을 찾는 분위깁니다. 워싱턴 연결해보죠. 서지영 특파원! 미국이 군사적 맞대응을 자제한 셈인데, 양국이 출구 전략에 나섰다. 이렇게 봐야 할까요?..."
9,2020.01.07.,국제유가 '중동 긴장 고조'에 강보합…금값 6년여만의 최고치,미국과 이란의 갈등이 고조됨에 따라 국제유가가 강보합세를 나타냈다. 6일(현지시간) 뉴욕상업거래소(NYMEX)에서 2월 인도분 서부 텍사스산 원유(WTI)는 배럴당 0.4%(0.22달러) 상승한 63.27달러에 거래를 마쳤다. 런던...
10,2020.01.08.,"'중동 사태' 정부 합동대응반 가동…""금융·유가 등 분야별 대응""","이날 회의에서는 중동 사태 점검을 위해 금융시장·국제유가·실물경제·해외건설·해운물류 등 5개 반을 구성했다. 기재부 1차관이 총괄반장을 맡고 산업통상자원부·국토교통부·해양수산부 차관, 금융위 부위원장이 5개..."
11,2020.01.08.,보복 나선 이란…아시아증시 출렁·유가 급등,"국제 유가도 급등세다. 이란이 이라크 내 미군 기지를 공격했다는 소식이 전해져서다. 8일 오전 10시38분 현재 일본 증시의 토픽스 지수와 닛케이 225 지수는 각각 전장보다 2.33%, 2.56% 하락했다. 중국..."
12,2020.01.09.,유가 상승 불쏘시개…'호르무즈 해협'에 쏠린 눈,"국내 정유·화학 업계가 한 풀 꺾인 국제 유가 상승세에도 불구, 중동 불안 뇌관인 호르무즈 해협 봉쇄 가능성을 예의 주시하고 있다. 조선·해운 업계도 영향권에 들까 촉각을 곤두세우고 있다. 9일 업계에 따르면..."
13,2020.01.08.,세계 금융시장 이란 美공격에 '출렁'…유가 한때 5% 급등,주가는 일제히 약세였고 국제 유가는 장중 한때 약 5%나 급등했다. 이날 오전 일본 증시는 2%대의 낙폭을 보이다가 오후 2시 36분 현재는 토픽스 지수가 1.28% 내리고 닛케이225 지수는 1.52% 하락하는 등 일부 낙폭은...
14,2020.01.09.,美-이란 긴장 완화에 뉴욕·유럽 증시 상승...국제유가 급락,"뉴욕과 유럽 증시는 일제히 상승했고, 국제유가와 국제금값도 하락세로 돌아섰습니다. 조수현 기자가 보도합니다. [기자] 중동발 악재에 하락세를 보였던 뉴욕 증시가 반등했습니다. 다우 지수는 0.56%, S&P는 0.49% 오른 채..."
15,2020.01.08.,"국제유가, 가격부담에 숨고르기…금값은 열흘째 강세",국제유가가 4거래일 만에 하락했다. 7일(현지시간) 뉴욕상업거래소(NYMEX)에서 2월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 0.9%(0.57달러) 하락한 62.70달러에 거래를 마쳤다. 런던 ICE 선물거래소의 3월물...
16,2020.01.10.,[원유마감]유가 하락…중동 긴장 완화+원유재고 급증 소화,국제유가가 9일(현지시간) 하락했다. 미군의 이란 최고 군 지도자 살해 이후 높아졌던 중동의 지정학적 긴장이 완화하고 전날 발표된 미국의 원유재고 급증을 시장이 소화했다. 미국서부텍사스원유(WTI) 선물은 배럴당...
17,2020.01.10.,"국제유가, 美 원유생산량 증가에 하향 안정화 전망-대신",대신증권은 국제유가가 배럴당 60달러 이하로 하향안정화될 것이라고 전망했다. 김소현 대신증권 연구원은 10일 보고서에서 “전일 국제유가는 배럴당 59.61달러로 하루 만에 4.93% 하락했다”면서 “이란의 이라크 내...
18,2020.01.08.,美-이란 충돌에 亞 증시 와르르…국제유가는 5.1% 폭등,"국제 유가는 급등했다. 전 세계 원유 물동량의 20% 가량이 이란이 영향력을 행사하는 호르무즈 해협을 통과하는데다, 미국과 이란간 무력충돌이 확대될 경우 사우디아라비아 등 인근 산유국들에도 영향을 끼칠 수..."
19,2020.01.10.,"[국제유가] WTI, 미국·이란 긴장감 완화에 약보합",국제유가는 미국·이란 긴장감 완화에 약보합세를 나타냈다. 9일(현지시간) 뉴욕상업거래소(NYMEX)에서 2월 인도분 서부 텍사스산 원유(WTI)는 전 거래일 대비 배럴당 0.05달러(-0.08%) 내린 59.56달러에 거래를 마쳤다....
20,2020.01.10.,[이슈] 미국-이란 전쟁 위기에 국제유가 출렁,미국과 이란이 전쟁 일보직전까지 가는 등 충돌을 빚으면서 국제유가가 크게 출렁였다. 미국의 폭격으로 솔레이마니 이란 혁명수비대 사령관이 사망했을 당시 70달러까지 치솟았다. 이후 이란이 미군이 있는 이라크...
