,날짜,제목,요약
0,2021.08.10.,중국도 델타도 심상찮다…2.6% 주저앉은 유가,우려에 국제 유가가 급락했다. 서부텍사스산원유(WTI) 선물 가격은 9일(현지시간) 장중 한때 5월 이래 최저를 기록했다. 월스트리트저널(WSJ)에 따르면 이날 뉴욕상업거래소(NYMEX)에서 WTI 선물 가격은 2.6% 급락한 배럴당...
1,2021.08.10.,"국제유가 2% 넘게 하락…WTI 66.48달러, 2.64%↓","로이터=연합뉴스 국제유가는 9일(현지시간) 코로나19 변이 바이러스 확산 영향으로 2% 넘게 하락 마감됐다. 서부텍사스산원유(WTI)는 장중 한 때 배럴당 65달러대로 하락했고, 브렌트유는 배럴당 70달러 선이 무너지며..."
2,2021.08.10.,[국제유가] 中 경제지표 둔화 등에 9일 유가 하락,"중동산 Dubai유 등 국제유가의 일일 변동 현황 9일 국제유가는 중국의 경제 지표 둔화와 주요 기관의 중국 경제성장률 전망치 하향조정, 미 달러화 강세 등으로 하락했다. 한국석유공사(사장 김동섭)는 서부..."
3,2021.08.10.,국제유가 떨어졌는데 휘발유 가격은 3년만에 최고치,"정유사 공급가격도 줄줄이 인하… 상승세 브레이크 걸리나 올해 들어 고공행진하던 국제유가가 한풀 꺾인 모습을 보이고 있지만, 국내 주유소 휘발유 값은 14주 연속 상승하며 3년 만에 최고치를 기록했다...."
4,2021.08.10.,델타변이 확산에 국제유가 급락...70달러 붕괴,국제유가가 급락하며 배럴당 70달러 밑으로 추락했다. 감염력 높은 신종 코로나바이러스 감염증(코로나19) 델타변이 확산 여파로 아시아 석유수요가 줄어들 것이란 우려에 따른 것이다. 그러나 펀더멘털에는 큰 변화가...
5,2021.08.09.,"치솟는 유가에 해양플랜트 부활…조선사, 4兆 수주 훈풍",국제유가 강세에 따른 채산성 확보로 글로벌 오일 메이저들의 발주 환경이 개선되며 조선사의 해양플랜트 수주도 되살아 나고 있다. 9일 조선업계에 따르면 한국조선해양은 최근 미국 소재 원유 개발 업체와 총...
6,2021.08.10.,"국제유가, 중국 코로나 봉쇄 강화에 2% 이상↓",석유 시추 현장 뉴욕유가가 중국이 코로나19 확산에 대응해 주민들의 이동을 통제하고 있다는 소식에... 여기에 미국 내 많은 기업이 사무실 복귀를 점차 늦추고 있는 점도 유가에 하락 압력으로 작용하고 있다.
7,2021.08.10.,"[원유마감] ‘델타 변이’ 공포, 유가 2% 이상 급락",델타 변이 공포로 국제유가가 2% 이상 급락했다. 국제유가는 델타 변이가 경기회복의 발목을 잡아 세계경제의 침체가 장기간 지속될 것이란 우려로 급락했다. 미국 서부텍사스산중질유(WTI)는 전거래일보다 2.6% 급락한...
8,2021.08.08.,치솟는 국제유가에… 조선업계 ‘해양플랜트’ 수주 훈풍,4조원 수주 기대감 대우조선·삼성重 올 목표 조기달성 관측 배럴당 70달러선까지 오른 국제유가로 조선 업계에 ‘해양플랜트’ 수주 훈풍이 불고 있다. 선박 수주 낭보에 해양플랜트 호조까지 더해지며 국내 조선...
9,2021.08.10.,"국제유가 장중 4%'뚝', ""코로나·中수요 우려""[유가마감]",코로나19(COVID-19) 델타변이 확산 우려에 국제유가가 약세를 보였다. 9일(현지시간) 뉴욕상업거래소(NYMEX)에서 WTI(서부 텍사스산 원유) 9월 인도분은 배럴당 1.43달러(2.09%) 내린 66.85달러에 거래를 마쳤다. WTI는 이날 장중...
10,2021.08.10.,[국제유가]중국 경제 심상치 않다…WTI 2.6% 하락,국제유가가 급락했다. 9일(현지시간) 미국 뉴욕상업거래소에서 9월 인도분 서부텍사스산원유(WTI)는 전거래일 대비 배럴당 2.6% 떨어진 66.48달러에 거래를 마쳤다. 장중에는 65.15달러까지 내렸다. 이는 지난 5월 당시...
11,2021.08.09.,"브렌트 유가, 3.3% 하락해 한달 래 최저치 기록",국제 유가가 초반에 큰 폭의 내림세를 나타내고 있다. 9일(월) 미국 기준원유 텍사스중질유(WTI)는 뉴욕상품거래소 정규장 전 전자거래서 배럴 당 2.75배럴이 떨어진 65.53달러에 거래되고 있다. 직전 영업일인 6일(금)...
12,2021.08.10.,국제유가 3주 만에 최저치…중국 델타변이 확산 영향,국제유가가 3주 만에 최저치로 떨어졌다. 이는 중국의 델타 변이 확산과 이동 제한 영향으로 에너지 수요가 위축될 것이라는 우려에 따른 것이다. 9일(현지시간) 국제유가는 배럴당 70달러 선이 무너졌다. 10월물...
13,2021.08.10.,코로나발 국제유가 변동성 심화...향후 전망은,국제유가가 최근 한달새 급락과 상승을 반복하면서 안정세를 찾던 원유시장의 혼란이 커지고 있다. 10일 한국석유공사에 따르면 지난 9일(현지시간) 뉴욕상업거래소(NYMEX)의 미국 서부텍사스산원유(WTI)는 전 거래일...
14,2021.08.09.,국제유가 4%대 약세... 델타 확산에 '경제 재봉쇄 우려' 영향,국제유가가 인도발 델타 변이 확산에 따른 경제 재봉쇄 우려로 약세를 기록하고 있다. 9일 오후 8시39분(한국 시간) 현재 서부텍사스산원유(WTI)는 전 거래일 대비 4.01% 내린 65.54달러에 거래됐다. 영국 북해산...
15,2021.08.06.,"국제유가, 중동 긴장고조에 반등...WTI 1.38%↑",국제유가가 중동 지역의 지정학적 불안 고조로 4거래일 만에 반등했다. 5일(현지 시각) 뉴욕상업거래소(NYMEX)에서 미국 서부텍사스원유(WTI) 9월 인도분 선물은 전장 대비 94센트(1.38%) 상승한 배럴당 69.09달러를...
