,날짜,제목,요약
0,2017.12.09.,"국제유가, 예루살렘發 중동불안에 강세…WTI 1.2%↑",국제유가가 8일(현지시간) 상승했다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부 텍사스산 원유(WTI)는 배럴당 0.67달러(1.2%) 상승한 57.36달러에 거래를 마쳤다. WTI는 이번 주 주간으로는 1.7% 하락률을...
1,2017.12.10.,중동불안에 국제유가 강세…WTI 1.2% 올라,생산차질로 공급과잉 해소 기대…나이지리아 파업·中수입 영향도 이달 들어 하향 곡선을 그려온 국제유가가 강세로 돌아서고 있다. 도널드 트럼프 미국 대통령이 예루살렘을 이스라엘 수도로 공식 인정하면서 발생한...
2,2017.12.10.,내년 물가 상승 우려된다…최저임금·유가 인상,트럼프의 예루살렘 이스라엘의 수도 인정…국제유가 상승 예고되며 물가 상승 영향 이경태 기자 biggerthanseoul@ajunews.com 최저임금 및 유가 인상 추세로 내년 물가 상승에 대한 우려감이 높아진다. 생산원가 변동에...
3,2017.12.10.,국제유가 상승...예루살렘 사태 등 중동 리스크,국제유가가 8일(현지시간) 상승했다. 예루살렘 사태 등 중동 리스크가 상승 요인으로 지목됐다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부 텍사스산 원유(WTI)는 배럴당 0.67달러(1.2%) 상승한 57.36달러에...
4,2017.12.10.,국제유가 상승세 주춤…국내 유가 오름세도 제동,주유소 휘발유 ·경유 19주째 기름 값 상승중 정유사의 주유소 휘발유 공급가는 내리기 시작 美원유 생산량 역대 최대치 …국제유가 하락해 국내 유가 상승세도 완화될 것 [휘발유 가격이 19주째 상승하고 있지만...
5,2017.12.08.,국제유가 반등···WTI 1.3% 상승,[서울경제] 국제유가는 7일(현지시간) 1%대 반등했다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부텍사스산 원유(WTI)는 배럴당 0.73달러(1.3%) 상승한 56.69달러에 거래를 마쳤다. 런던 ICE 선물거래소의 내년...
6,2017.12.10.,[국제유가] 8일 두바이유 등 3대 원유 상승,"[투데이에너지 조대인 기자] 8일 국제유가는 두바이유를 비롯해 서부 텍사스산 원유, 북해산 브렌트유 등 3대 원유가 모두 상승 마감했다. 한국석유공사는 서부 텍사스산 원유인 WTI가 전일대비 배럴당 0...."
7,2017.12.08.,국제유가 고공행진에 원유 펀드 '함박 웃음',[매일일보 홍석경 기자]  국제유가가 지난 8월 이후 강세를 보이면서 원유에 투자하는 펀드 수익률도 고공행진 보이고 있다. 8일 펀드평가사 KG제로인에 따르면 실물자산에 연동해 수익을 내는...
8,2017.12.09.,유가 계속 오를까…애널리스트가 꼽은 2018 기대주 15선,"최근 12개월간 국제유가 흐름과 에너지관련주 추이. 파란색이 유가, 노란색이 에너지 섹터. 상승과 하락이 함께 가는 경향을 보인다. /그래프=마켓워치 제공 지난 8월 22일 프라이스 퓨쳐스 그룹의 필..."
9,2017.12.07.,[국제유가] 미 휘발유 재고 증가… WTI 2.9%↓,본문 이미지 영역 국제유가 하락. /사진=머니투데이 DB 국제유가가 크게 하락했다. 6일(현지시간) 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부텍사스산원유(WTI)는 배럴당 1.66달러(2.9%) 하락한 55.96달러로...
10,2017.12.05.,국제유가 1%대 하락… WTI 57달러선,국제유가가 4일(현지시간) 1%대 하락했다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부 텍사스산 원유(WTI)는 전거래일보다 배럴당 0.89달러(1.5%) 하락한 57.47달러에 거래를 마쳤다. 런던 ICE 선물거래소의...
11,2017.12.09.,"항공株, 국제유가 상승에도 `장밋빛`","- 국제유가 강세에 투자심리 위축…반등세 `주춤` - 여객 및 화물 수송량 확대로 4분기 호실적 기대 - ""이익모멘텀에 저평가매력 부각…항공주 매수기회"" 중국과의 관계 개선과 원화강세에 반등세를 보이던 항공주(株)..."
12,2017.12.06.,"국제유가, 감산연장 기대 속 강보합…WTI 0.3%↑",국제유가는 5일(현지시간) 소폭 올랐다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부텍사스산 원유(WTI)는 전날보다 배럴당 0.15달러(0.3%) 오른 57.62달러에 거래를 마쳤다. 런던 ICE 선물거래소의 내년...
13,2017.12.09.,"국제유가, 중국 수입 증가에 상승",[뉴욕=뉴스핌 김민정 특파원] 국제유가가 8일(현지시간) 상승했다. 중국의 무역지표가 호조를 보이면서 강한 수요를 시사했기 때문이다. 뉴욕상업거래소(NYMEX)에서 거래된 1월 인도분 서부텍사스산원유(WTI) 가격은...
14,2017.12.09.,"확대되는 중동 갈등, 변동성 커지는 국제유가",[EBN 권영석 기자] 세계 최대 산유지역인 중동의 분쟁이 갈수록 격해지면서 국제유가까지 불안해지고 있다. 트럼프 미국 대통령이 예루살렘을 이스라엘의 수도로 공식 인정하면서 이슬람권이 극도의 분노를 표출하고...
15,2017.12.08.,[국제유가] 나이지리아 석유 노조의 파업 영향… 1%대 반등,본문 이미지 영역 /사진=이미지투데이 국제유가가 1%대 반등했다. 7일(현지시간) 미국 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부텍사스산 원유(WTI)가 배럴당 0.73달러(1.30%) 상승한 56.69달러에 거래를...
16,2017.12.07.,美 석유제품 재고 증가에 국제유가 급락…WTI 2.88%↓,= 미국의 석유제품 재고가 크게 늘어난 것으로 나타나면서 국제유가가 하락했다. 6일(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된 12월 인도분 서부텍사스산 원유(WTI) 가격은 전날보다 2.88% 내린 배럴당 55....
17,2017.12.07.,"하나금투 ""국제유가 감산연장에도 당분간 소강상태 예상""","오스트리아서 OPEC 정기 총회[EPA=연합뉴스 자료사진] 하나금융투자는 7일 최근 석유수출국기구(OPEC)의 감산연장 합의에도 국제유가가 당분간 소강상태를 보일 것으로 전망했다. 김훈길 연구원은 ""OPEC은 지난달 30일..."
18,2017.12.09.,"국제유가, 중동·나이지리아·중국 3박자에 상승…WTI 1.18%↑",국제 유가가 공급은 줄고 수요는 늘어날 것이라는 기대감에 상승했다. 8(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된 1월 인도분 서부텍사스산 원유(WTI) 가격은 전날보다 배럴당 1.18% 오른 57.36달러에 마감했다....
19,2017.12.06.,"골드만삭스, 내년 유가 전망치 상향조정…브렌트유 62달러","브렌트유 58→62 달러, WTI 55→57.5 달러 상향조정 골드만삭스 ""산유국들, 길고 온건한 감산 출구전략 찾을 것"" = 골드만삭스가 석유수출국기구(OPEC)의 감산 연장 결정에 따라 국제유가가 현재 수준에서 유지될 것으로..."
20,2017.12.03.,"""국제유가 상승압력 약해진다…셰일오일 증산효과""",[연합뉴스 자료사진] 브렌트유 5개월간 40% 넘게 뛰어…예측기관들 내년엔 지금보다 낮게 전망 한국은행은 최근 가파른 상승세를 이어온 국제유가가 미국 셰일오일 증산으로 상승압력이 완화될 것으로 전망했다....
21,2017.12.09.,"저유가 기조에 건설사 직격탄…건설수지 흑자, 10년 8개월 만에 최소",건설 수지 흑자가 줄어든 데는 2014년 하반기부터 나타난 국제 유가 하락 탓이다. 국제 유가는 2014년 상반기까지 100달러를 넘기도 했지만 이후 가파르게 떨어져 지난해 초 한때 20달러대까지 내려갔다. 오일 머니가...
22,2017.12.08.,[CNBC브리핑] 중동 불안에 국제유가 ‘불안’…WTI 1%대 반등,■ 경제와이드 모닝벨 '이 시각 CNBC 브리핑' <앵커> 주요 산유국들이 몰린 중동에서 분쟁이 불거지면서 국제유가가 직격탄을 받고 있습니다. 외신팀 이승희 기자와 이야기 나눠보겠습니다. 아무래도 유가 상승이...
23,2017.12.05.,유가 두달새 2% 하락… 내년 중반까지 55~65弗 박스권 예상,"WTI, 지난주比 1.53%↓ 당분간 상승 모멘텀 없어 국제유가가 주말을 지나면서 하락세로 돌아섰다. 국제유가 기준물인 북해산 브렌트유 선물 가격은 두달 만에 최대 낙폭을 기록하기도 했다. 지정학적 위험이 고조되지..."
