,날짜,제목,요약
0,2019.07.10.,"국제유가, '이란 사태' 여파 속 강세…WTI 0.3%↑",이준서 특파원 = 국제유가는 9일(현지시간) 소폭 올랐다. 이날 뉴욕상업거래소(NYMEX)에서 8월 인도분 서부 텍사스산 원유(WTI)는 배럴당 0.3%(0.17달러) 오른 57.83달러에 거래를 마쳤다. 런던 ICE 선물거래소의 9월물...
1,2019.07.09.,"국제유가, 이란發 위기감에 소폭 상승…WTI 0.3% 올라",국제유가가 이란이 핵합의 상한을 넘겼다는 소식 이후 소폭 상승했다. 8일(현지시간) 뉴욕상업거래소(NYMEX)에서 8월 인도분 서부 텍사스산 원유(WTI)는 배럴당 0.3%(0.15달러) 오른 57.66달러에 거래를 끝냈다. 중동의...
2,2019.07.10.,[국제유가] 러시아 산유량 감소에 WTI 0.3% 상승,뉴욕 유가는 러시아의 산유량 감축 소식 등에 힘입어 소폭 올랐다. 9일 뉴욕상업거래소에서 8월물 서부... 러시아의 이번 달 산유량이 3년래 최저치 수준으로 떨어졌다는 보도가 나온 점이 유가에 상승 동력을 제공했다....
3,2019.07.10.,"유가 상승, WTI 57.83달러…중동지역 긴장 여파",국제유가는 중동 지역의 긴장 지속 등의 영향으로 상승했다. 10일 한국석유공사에 따르면 9일(현지시간) 뉴욕상업거래소(NYMEX)의 미국 서부텍사스산원유(WTI) 가격은 전일 대비 배럴당 0.17달러 상승한 57.83달러를...
4,2019.07.10.,"[국제유가] WTI, 중동지역 긴장감속 소폭 상승",국제유가는 이란의 핵합의 축소 이행에 따른 중동지역 긴장감에 소폭 상승했다. 9일(현지시간) 뉴욕상업거래소(NYMEX)에서 8월 인도분 서부 텍사스산 원유(WTI)는 전 거래일 대비 배럴당 0.17달러(0.3%) 오른 57.83달러에...
5,2019.07.10.,[원유마감]유가 상승…중동 긴장 지속 vs. 에너지 수요 우려,국제유가가 9일(현지시간) 상승했다. 미국과 이란 사이의 긴장감이 중동 지역에서의 원유 흐름 중단 가능성이 높아져 유가를 끌어올렸다. 미국 서부 텍사스원유(WTI) 선물은 배럴당 17센트(0.3%) 상승한 57.83달러를...
6,2019.07.09.,"국제 유가, 이란 핵합의 갈등-원유 수요 전망 우려에 혼조",민지현 특파원 = 국제유가가 8일(현지시간) 혼조세를 나타냈다. 이란을 둘러싼 지정학적 긴장감과 중동 지역의 원유 공급 불확실성이 높아지면서 유가 상승 호재를 제공했지만 세계경제 성장 둔화가 원유 수요 전망을...
7,2019.07.10.,"""고유가에 일본 제재까지…"" 항공업계, 2분기 실적도 먹구름","2분기는 전통적 비수기인데다 국제 유가와 환율 상승에 따른 비용증가, 공급노선 대비 탑승 수요가 큰 폭으로 줄어 어려움이 예상된다. 게다가 3분기 이후부터는 한일 관계 악화로 수요가 줄어 타격이 불가피할 전망이다...."
8,2019.07.09.,이란 핵 위기 속 국제유가 혼조세,"이란 핵 위기 속에 국제유가가 혼조세를 보이고 있습니다. 현지시간으로 8일, 뉴욕상업거래소에서 8월 인도분 서부 텍사스산 원유는 배럴당 0.3% 포인트 상승한 57.66달러에 거래를 마쳤습니다. 반면 런던 ICE..."
9,2019.07.09.,[국제유가] '이란 핵 갈등' 영향 상승… 'WTI 57.66달러',뉴데일리 송승근 기자 = 국제유가가 이란 핵 합의 갈등 고조 및 글로벌 무역 분쟁 여파에 대한 우려로 소폭 상승했다. 9일 한국석유공사에 따르면 8일(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된 서부텍사스산원유...
10,2019.07.10.,[국제유가] 美 원유재고 감소 영향 소폭 상승… 'WTI 57.83달러',뉴데일리 송승근 기자 = 국제유가가 중동 지역 긴장 지속 미국 원유재고 감소 예상 속에서 소폭 상승했다. 10일 한국석유공사에 따르면 9일(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된 서부텍사스산원유(WTI)는...
11,2019.07.10.,"뉴욕증시, 파월 증언 앞두고 다우지수 0.08%↓…국제유가 WTI 0.3%↑",국제유가는 소폭 올랐다. 이날 뉴욕상업거래소(NYMEX)에서 8월 인도분 서부 텍사스산 원유(WTI)는 배럴당 0.3%(0.17달러) 오른 57.83달러에 거래를 마쳤다. 런던 ICE 선물거래소의 9월물 브렌트유도 오후 3시30분 현재...
12,2019.07.10.,"국제유가, 이란 정세 불안-무역전쟁 우려 속 완만한 상승","민지현 특파원 = 국제유가가 9일(현지시간) 완만하게 상승했다. 이란을 둘러싼 중동 지정학적 긴장감과 이른바 석유수출국기구(OPEC)+의 감산 연장 소식이 유가 상승 재료가 됐다. 다만, 미국과 중국의 무역 분쟁이..."
13,2019.07.09.,"[국제유가] WTI, 이란사태 주시 속 혼조세",국제유가는 이란의 핵합의 이행축소에 소폭 상승했다. 다만 원유 수요에 대한 불확실성으로 상승폭은 제한됐다. 8일(현지시간) 뉴욕상업거래소(NYMEX)에서 8월 인도분 서부 텍사스산 원유(WTI)는 전 거래일 대비 배럴당...
14,2019.07.10.,[국제유가]지정학적 위기에 상승세,이란 우라늄 농축 농도를 4.5% 이상으로 높이면서 중동 지역의 긴장이 고조돼 유가에 상승 압력을 가했다. 주요 산유국인 러시아의 월간 산유량이 3년만에 최저치로 떨어졌다는 소식도 상승 요인으로 작용했다....
15,2019.07.09.,국제유가 혼조세...WTI↑·브렌트유↓,"국제유가는 이란 사태를 주시하면서 혼조세를 보였습니다. 뉴욕상업거래소에서 8월 인도분 서부 텍사스산 원유는 배럴당 0.3%, 15센트 오른 57달러 66센트에 거래를 마쳤습니다. 그러나 런던 ICE 선물거래소의 9월물..."
16,2019.07.10.,9일 국제유가 상승,"한국석유공사는 9일 국제유가는 중동 지역 긴장 지속, 러시아 원유 생산 감소, 미 원유재고 감소 예상 등으로 상승했고 미중 무역협상 난항 지속, 2019년 세계 석유수요 증가폭 전망치 하향, 미 원유생산 증가..."
17,2019.07.02.,OPEC+ 사실상 감산 연장 가닥...국제유가 안정되나,전문가들은 감산이 이어질 경우 국제유가는 안정된 수준을 유지할 것으로 보고 있다. OPEC의 감산 연장 합의 소식에 1일 뉴욕상업거래소(NYMEX)에서 8월 인도분 서부 텍사스산 원유(WTI)는 전 거래일보다 배럴당 1.1%(0....
18,2019.07.09.,"뉴욕증시,금리인하 기대 약화 다우지수 0.43%↓…국제유가 WTI 0.3%↑",국제유가는 중동의 지정학적 위기감이 고조되면서 혼조세를 나타냈다. 이날 뉴욕상업거래소(NYMEX)에서 8월 인도분 서부 텍사스산 원유(WTI)는 배럴당 0.3%(0.15달러) 상승한 57.66달러에 거래를 마쳤다. 반면 런던 ICE...
19,2019.07.06.,"국제유가, 이란-서방 갈등 지속에 상승…WTI 0.3%↑",이귀원 특파원 = 국제유가는 5일(현지시간) 상승세로 마감했다. 이날 뉴욕상업거래소(NYMEX)에서 8월 인도분 서부 텍사스산 원유(WTI)는 전 거래일보다 배럴당 0.3%(0.17달러) 오른 57.51달러에 거래를 마쳤다. 런던 ICE...
20,2019.07.06.,"""OPEC+ 감산 결정에도...하반기 국제유가 하락 전망",사진=대신증권 하반기 국제유가가 상반기 대비 하락할 것으로 전망된다. 오펙플러스(OPEC+)의 감산 결정에도 원유수요 둔화와 미국 중심 노펙(NOPEC) 국가들의 원유 생산량 증가로 국제유가가 하락추세를 나타낼...
21,2019.07.10.,"중동 긴장 지속...국제 유가 소폭 반등, 美 에너지 주가는 보합","9일(미국시각) 국제 유가가 전일의 하락세를 딛고 소폭 반등했다. 이란발 핵위협 고조, 러시아의 감산 효과 등이 유가를 견인했다. 블룸버그 집계에 따르면 이날 뉴욕상업거래소에서 미국 동부시각 오후 3시59분..."
22,2019.07.04.,"국제유가, 급락 하루만에 상승 반전…WTI 1.9%↑",이귀원 특파원 = 국제유가는 3일(현지시간) 급락 하루 만에 다시 올랐다. 이날 뉴욕상업거래소(NYMEX)에서 8월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 1.9%(1.09달러) 오른 57.34달러에 거래를 마쳤다. 런던...
23,2019.07.03.,"국제유가, 감산 연장에도 급락…WTI 4.8%↓",이귀원 특파원 = 국제유가는 2일(현지시간) 큰 폭의 하락세를 보였다. 이날 뉴욕상업거래소(NYMEX)에서 8월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 4.8%(2.84달러) 떨어진 56.25달러에 거래를 마쳤다. 런던...
24,2019.07.10.,[국제유가] 이란 우라늄 농축 제한 파기에 중동 긴장…선물시장 상승,"북해산 브렌트유, 서부텍사스산 중질유(WTI) 등 선물시장은 이란 우라늄 농축 제한 파기 등 요인에 따라 상승했다. 반면 두바이 현물가는 하락했다. 한국석유공사에 따르면 8일 북해산 브렌트유 선물은 배럴당 64...."
25,2019.07.09.,[국제유가]관망심리 속 혼조세,사진=연합뉴스[세계파이낸스=안재성 기자]8일(현지시간) 국제유가는 중동 지역의 긴장을 주시하는 심리가 형성된 가운데 혼조세를 나타냈다. 이날 뉴욕상업거래소(NYMEX)에서 8월 인도분 서부 텍사스산 원유(WTI)는...
26,2019.07.10.,[국제유가] 중동 리스크 여전한 가운데 美원유재고 감소 예상...국제유가 상승...,이영노 기자 ynlee@ajunews.com 9일(현지시간) 국제유가가 중동 리스크와 글로벌 경기 위축 우려가 공존하는 가운데 소폭 상승세를 보였다. 이날 뉴욕상업거래소(NYMEX) 8월 인도분 서부텍사스산원유(WTI)는 직전 거래일...
27,2019.07.10.,[국제유가]WTI 0.3% 상승… 이란 긴장 지속 vs 파월 증언 대기,미국과 이란 간 계속되는 갈등이 유가를 지지했다. 다만 제롬 파월 연방준비제도(연준) 의장 의회 증언을... 유엔 핵감시기구인 국제원자력기구(IAEA)가 전일 이란의 우라늄 농축도가 핵합의 규정을 초과한 점을...
28,2019.07.09.,호재-악재 '병존'...국제 유가 '소폭 하락',8일(미국시각) 국제 유가가 소폭 하락했다. 글로벌 경기둔화 우려가 유가를 압박한 반면 이란의 핵실험 가능성에 따른 미국-이란 간 관계가 악화된 것은 유가 낙폭을 제한하는 역할을 했다. 블룸버그 집계에 따르면...
29,2019.07.02.,"반년째 0%대 물가...“낮은 국제유가, 채소값, 집세”","집세, 채소류, 국제유가가 낮게 유지되고 있기 때문이라는 분석이다. 통계청은 2일 지난 6월 소비자물가지수가 104.88(2015년=100)로 1년 전에 비해 0.7% 올랐다고 소비자물가동향을 발표했다. 지난 5월에 비해서는 0.1..."
30,2019.07.09.,8일 국제유가 WTI 상승‧Brent 하락,70달러 상승한 배럴당 63.32달러에 마감됐다. 한국석유공사는 8일 국제유가는 이란 핵합의 갈등 고조 및 글로벌 무역 분쟁 여파에 대한 우려로 혼조세를 보였다고 전했다.
31,2019.07.08.,유류세 인하폭 축소·국제유가 하락 모두 반영 주유소 5% 불과," 전국 주유소중 단 5% 만이 유류세 인하폭 축소와 국제유가 하락의 영향을 모두 휘발유 가격에 반영한 것으로 나타났다. 8일 에너지·석유시장 감시단에 따르면 전국 주유소 중 5.59%가 휘발유 가격에, 32.58%가 경유..."
32,2019.07.02.,"국제유가, 미중 휴전·감산연장 기대에 상승…WTI 1.1%↑",이귀원 특파원 = 국제유가는 1일(현지시간) 미중 무역전쟁의 휴전과 감산 연장 기대로 올랐다. 이날 뉴욕상업거래소(NYMEX)에서 8월 인도분 서부 텍사스산 원유(WTI)는 전 거래일보다 배럴당 1.1%(0.62달러) 오른 59....
