,날짜,제목,요약
0,2021.12.10.,국제유가 70달러선 횡보…오미크론 불확실성에 주춤,떨어졌던 유가가 오미크론이 위험하지 않다는 인식에 70달러대 선으로 반등한 뒤 횡보하는 추세를 보이고 있다. 이미지투데이 오미크론으로 배럴당 60달러 중반까지 떨어졌던 유가가 ‘오미크론이 위험하지 않다’는...
1,2021.12.10.,[국제유가] 헝다 디폴트·오미크론 봉쇄 우려에 하락… WTI 2%↓,국제유가가 하락 마감했다. 9일(현지시각) 뉴욕상업거래소(NYMEX)에서 미국 서부텍사스원유(WTI) 1월 인도분 선물은 전 거래일 대비 1.42달러(2%) 내려 배럴당 70.94달러를 기록했다. 영국 북해 브렌트유 2월물은 1.40달러(1.9...
2,2021.12.09.,"국제유가, 오미크론 우려 완화에 상승세…WTI 0.4%↑","미국 주간 원유 재고, 24만1000배럴 감소 국제유가는 미국 원유재고 감소와 오미크론 우려 완화로 상승세를 이어갔다. 8일(현지시간) 뉴욕상업거래소(NYMEX)에서 1월물 서부 텍사스산 원유(WTI)는 전 거래일 대비..."
3,2021.12.10.,[국제유가] 사흘만에 하락세… 오미크론 봉쇄 & 헝다 디폴트,오미크론 확산에 따라 각국 정부가 규제정책을 강화하고 중국 부동산 개발업체 헝다(에버그란데)의 신용 등급이 ‘제한적 디폴트’로 강등되면서 국제유가가 사흘 만에 하락세로 돌아섰다. 9일(현지시간) 미국...
4,2021.12.10.,中 헝다 디폴트 충격에 유가 급락…글로벌 증시는 관망세,중국의 대형 부동산업체 헝다(恒大)그룹의 ‘디폴트 공식화’ 에 국제유가가 급락하는 등 파장이 일고 있다. 다만 글로벌 증시는 일단 큰 충격없이 지나가는 모양새다. 9일(현지시간) 신용평가사 피치는 헝다의...
5,2021.12.09.,"국제유가, 오미크론 우려 완화에 상승세 WTI 0.4%↑…금값도 소폭 상승",국제유가 / 네이버 증권정보 국제유가가 신종 코로나바이러스 감염증(코로나19) 새 변이 오미크론에 대한 우려가 완화되면서 상승세를 이어갔다. 8일(현지시간) 뉴욕상업거래소(NYMEX)에서 미국 서부텍사스원유(WTI)...
6,2021.12.10.,"국제유가, 헝다 디폴트 우려에 하락…WTI 70.94달러","국제유가가 중국 헝다그룹의 채무 불이행 공식화, 영국 코로나 변이 확산 영향으로 하락했다. 10일 한국석유공사에 따르면 전날 거래된 미국 서부텍사스원유(WTI) 가격은 전일대비 배럴당 1.42달러 하락한 70.94달러에..."
7,2021.12.08.,"국제유가, 오미크론 우려 진정에 70달러대로 '상승'",석유 시추 현장 국제유가가 배럴당 70달러대로 올랐다. 코로나19 변이종인 오미크론에 원유 수요가 감소할 수 있다는 우려가 누그러지면서 유가가 오름세를 보였다. 7일(미국 동부시간) 뉴욕상업거래소에서 1월물...
8,2021.12.09.,국제유가 재급등에 '고물가'까지…밥상물가 타격,"오미크론 변이의 확산으로 하락세를 걷던 국제유가가 반등하면서 70달러선을 돌파했다. 이에 따라 국내 시장에 반영되는 시차를 고려, 12월말께는 다시 국내 기름값이 오를 가능성이 높다. 여기에 농축수산물..."
9,2021.12.08.,"[국제유가] 오미크론 우려 완화에 이틀 연속 급등… WTI, 3.7%↑",국제유가가 이틀 연속 급등세다. 7일(현지시각) 뉴욕상업거래소(NYMEX)에서 미국 서부텍사스원유(WTI) 1월 인도분 선물은 전 거래일 대비 2.56달러(3.7%) 급등한 배럴당 72.05달러를 기록했다. 영국 북해 브렌트유 2월물은 2....
