,날짜,제목,요약
0,2020.04.10.,"""OPEC+, 5월부터 1천만 배럴 감산""…국제유가 9.3% 대폭락",이날 국제유가는 급등락 장세 끝에 폭락세로 방향을 잡았다. 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부 텍사스산 원유(WTI)는 배럴당 9.3%(2.33달러) 내린 22.76달러에 거래를 마쳤다. 타스통신은 사우디아라비아와...
1,2020.04.10.,13% 폭등뒤 9% 급락…감산합의 진통에 유가 롤러코스터,따라 국제유가가 사상 최대 폭으로 출렁거렸다. 뉴욕상업거래소(NYMEX)에서 국제유가는 장 초반 사우디와 러시아 등 주요 산유국이 하루 2000만배럴 감산에 합의했다는 소식이 나오면서 5월물 서부텍사스산원유(WTI)가...
2,2020.04.10.,1000만배럴 감산 잠정 합의에도… 유가 널뛰기,“코로나로 수요 손실 커 감산 효과 한정적” 시장 반응 냉담 합의 거부했던 멕시코 “미국이 멕시코 대신 25만배럴 감산하기로” 국제유가의 추락을 막기 위해 산유국들이 긴급 화상회의까지 열었지만 시장의...
3,2020.04.10.,국제 유가 일제히 급락···감산 합의 난항,"원유 감산을 위한 긴급회의가 진행되는 가운데 국제 유가가 급락했다. 현지시간 9일 서부 텍사스유(WTI)는 9.28%(2.33달러) 하락해 배럴당 22.76달러에, 브렌트유는 4.14%(1.36달러) 내려간 배럴당 31.48달러로 거래를..."
4,2020.04.10.,'유가 오르겠지'…묻지마 베팅에 투기판된 원유ETN,연초 대비 절반 이하로 떨어진 국제유가가 반등할 것이란 기대에 투자자들이 관련 상장지수증권(ETN)에 대한 '묻지마식 투자'에 나서고 있어서다. 원유 ETN 투기가 불 붙자 한국거래소가 거래 안정화 대책을 시행키로...
5,2020.04.10.,2000만→1000만배럴…OPEC+ 감산폭에 유가 `역대급 널뛰기`,"하루 2000만배럴 감산 로이터 보도에 WTI 12% 치솟다 결국 1000만배럴 감축에 실망한 투자자 매도세로 9% 급락 오늘밤 9시 G20 에너지 회담 주목…""사우디, 미국 등에 500만배럴 감축 요구"" 9일(현지시간) 국제유가는..."
6,2020.04.10.,"'럭비공' 국제유가…""원유 투자 위험"" 경고음","원유 감산을 둘러싼 사우디와 러시아 간 갈등에 국제유가가 올해 초와 비교해 3분의 1 수준으로 폭락했죠. 언젠가 오르겠지 하는 기대에 투자자들이 원유 파생상품에 대거 몰리고 있는데, 금융당국이 대규모 피해가..."
7,2020.04.10.,국제유가 '대규모 감산 불확실성' 롤러코스터…WTI 9.3%↓,"1천만 배럴 그칠 것"" 이준서 특파원 = 국제유가가 9일(현지시간) 급등락 장세 끝에 폭락세로 방향을 잡았다. 이날 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부 텍사스산 원유(WTI)는 배럴당 9.3%(2.33달러) 내린 22.76달러에..."
8,2020.04.10.,고래 싸움에 '럭비공' 된 국제유가,장 초반만 하더라도 산육국들이 대규모 감산에 합의할 것이란 기대감에 국제유가는 장중 10%대까지 치솟았지만 결국 큰 폭의 하락세로 마감했습니다. 신종 코로나바이러스 감염증(코로나19) 사태로 글로벌 경제활동이...
9,2020.04.10.,OPEC+ 하루 1000만배럴 감산 합의…국제유가는 ‘급락’,"뉴욕타임스(NYT)에 따르면 최근 ‘증산 경쟁’을 벌이면서 국제유가 급락사태를 촉발시켰던 사우디아라비아와 러시아가 각각 하루 330만배럴, 200만배럴 씩 총 500만배럴 규모의 감축분을 떠안기로 했다. 다른..."
10,2020.04.09.,코로나 확산에 유가 하락까지…'암초' 만난 해외건설 수주,"국제유가 20달러대 급락…""60달러 이하면 플랜트 발주 차질"" 코로나·저유가 겹쳐 해외공사 10곳 발주 연기…""하반기는 회복"" 기대감도 연초 잘 나가던 해외건설 수주 시장이 신종 코로나바이러스 감염증(코로나19) 확산에..."
11,2020.04.10.,'유가 오르겠지'…묻지마 베팅에 투기판된 원유ETN,연초 대비 절반 이하로 떨어진 국제유가가 반등할 것이란 기대에 투자자들이 관련 상장지수증권(ETN)에 대한 '묻지마식 투자'에 나서고 있어서다. 원유 ETN 투기가 불 붙자 한국거래소가 거래 안정화 대책을 시행키로...
12,2020.04.10.,"""사우디-러시아 감산 합의""…기대 미달에 유가 급락",이 소식에 당초 폭등했던 국제유가는 감산량이 기대에 못 미칠 것이란 우려에 다시 폭락세로 돌아섰다. 9일(현지시간) 월스트리트저널(WSJ)에 따르면 이날 사우디가 주도하는 OPEC(석유수출국기구)에 러시아가...
13,2020.04.10.,고래 싸움에 '럭비공' 된 국제유가,장 초반만 하더라도 산육국들이 대규모 감산에 합의할 것이란 기대감에 국제유가는 장중 10%대까지 치솟았지만 결국 큰 폭의 하락세로 마감했습니다. 신종 코로나바이러스 감염증(코로나19) 사태로 글로벌 경제활동이...
14,2020.04.10.,OPEC+ 하루 1000만배럴 감산 합의…국제유가는 ‘급락’,"뉴욕타임스(NYT)에 따르면 최근 ‘증산 경쟁’을 벌이면서 국제유가 급락사태를 촉발시켰던 사우디아라비아와 러시아가 각각 하루 330만배럴, 200만배럴 씩 총 500만배럴 규모의 감축분을 떠안기로 했다. 다른..."
15,2020.04.09.,"석유공사, '저유가' 비축유 64만배럴 조기 구매",이는 국제유가 급락에 따른 정부의 비축유 조기 구매 결정에 따른 조치다. 석유공사는 이달초 일부 물량에 대해 입찰했다. 석유공사는 제4차 석유비축계획(2014년~2025년)에 따라 오는 2025년까지 총 1억70만 배럴의...
16,2020.04.09.,유가 폭락…한국도 비축유 구매 두배 이상 늘린다,하지만 최근 국제유가가 연초보다 50% 이상 급락하면서 같은 돈으로 사들일 수 있는 양에 여유가 생겼다. 이에 따라 정부는 저유가 시황을 활용해 구매물량을 64만배럴로 대폭 늘리고 조기 구매를 추진하기로 했다....
17,2020.04.08.,"국제유가 9%대 폭락...사우디 ""OPEC+·미국에 긴급회의 요청""",국제유가 하락세가 멈추지 않는 가운데 사우디아라비아 내각은 7일(현지시간) 원유 시장의 균형과 안정을 이루기 위해 OPEC+(OPEC과 10개 주요 산유국의 연대체) 등에 긴급회의 소집을 요청했다고 밝혔다. 사우디...
