,날짜,제목,요약
0,2017.09.09.,국제유가 '어마' 우려에 하락…WTI 3.3%↓,국제유가는 8일(현지시간) 이틀 연속 내렸다. 이날 뉴욕상품거래소(NYMEX)에서 서부 텍사스산 원유(WTI) 10월 인도분은 전날보다 배럴당 3.3%(1.61달러) 내린 47.48달러에 거래를 마쳤다. 런던 ICE 선물거래소의 브렌트유...
1,2017.09.08.,"국제유가, 美원유재고 증가에 약보합",[서울경제] 국제유가가 7일(현지시간) 소폭 하락했다. 이날 뉴욕상품거래소(NYMEX)에서 서부 텍사스산 원유(WTI) 10월 인도분은 전날보다 배럴당 0.07달러(0.14%) 하락한 49.09달러에 거래를 마쳤다. 유전개발 현장...
2,2017.09.10.,"뉴욕증시, 허리케인 '어마' 영향…유가 향방 주목",국제 유가도 요동칠 가능성이 있다. 어마 피해 규모에 따라 유가를 비롯해 에너지주 보험주 등 관련 주식의 움직임이 결정될 전망이다. 서부텍사스산원유(WTI) 값은 지난주 금요일(8일) 3.3% 급락했다. 허리케인 여파로...
3,2017.09.09.,"국제유가, 늦어지는 정제소 정상화에 하락",허리케인 피해 이후 정제소의 정상화 작업이 더디다는 소식에 국제유가가 하락 마감했다. 8일(현지시각) 뉴욕 상품거래소(NYMEX)에서 거래된 서부텍사스산 원유(WTI) 10월물은 전날보다 3.28% 내린 배럴당 47.48달러에...
4,2017.09.06.,"국제유가, 텍사스 정제라인 재가동에 급등…WTI 2.9%↑",국제유가가 5일(현지시간) 급등했다. 이날 뉴욕상품거래소(NYMEX)에서 서부 텍사스산 원유(WTI) 10월 인도분은 전날보다 배럴당 1.37달러(2.9%) 오른 48.66달러에 거래를 마쳤다. 런던 ICE 선물거래소의 브렌트유도...
5,2017.09.07.,"국제유가, 강세 WTI 1%↑…국제금값은 美경제지표 혼조 속 소폭 하락","국제유가, 강세 WTI 1%↑…국제금값은 美경제지표 혼조 속 소폭 하락 국제유가가 6일(현지시간) 강세를 이어갔습니다. 이날 뉴욕상품거래소(NYMEX)에서 서부텍사스산 원유(WTI) 10월 인도분은 전날보다 배럴당 0...."
6,2017.09.09.,"국제 유가 3% 급락, 내주 IEA 보고서 주시",[뉴욕 = 뉴스핌 황숙혜 특파원]  국제 유가가 가파르게 떨어졌다. 원유 정제 업체들의 수요 회복이 더딘 것으로 나타나면서 ‘팔자’가 쏟아졌다. 허리케인이 덮친 주유소 <사진=블룸버그> 다음주 석유수출국기구...
7,2017.09.07.,[국제유가] 미국 정유시설 재가동… WTI 1%↑,"본문 이미지 영역 국제유가 전망. /사진=머니투데이 DB 국제유가가 미국 멕시코만 정유공장들의 가동 재개 영향으로 상승했다. 6일(현지시간) 서부텍사스원유(WTI) 10월물은 50센트, 1% 상승한 배럴당 49.16달러를..."
8,2017.09.09.,"美 태풍 '어마' 공포, 국제 유가 · 美 정유주 다 눌렀다","이번엔 태풍 '어마'의 공포가 유가 하락을 압박했다. 뉴욕상업거래소에 따르면 이날 10월물... 우려되면서 유가를 크게 압박했다""고 전했다. 이에 최근 연일 올랐던 미국증시 내 정유주들의 주가도 하락세로..."
9,2017.09.08.,[국제유가] 달러 약세 영향으로 상승… Brent 54.49달러,[뉴데일리-윤희성 기자] 국제유가가 달러화 약세 영향으로 상승했다. 8일 한국석유공사에 따르면 7일(현지시간) 거래된 북해사 Brent유는 전일대비 배럴당 0.29달러 오른 54.49달러에 장을 마감했다. 우리나라...
