,날짜,제목,요약
0,2020.03.10.,"국제유가, `유가 전쟁' 조짐에 대폭락…WTI 24.6%↓",브렌트유도 23대%↓…사우디-러시아 감산갈등에 걸프전 이후 최대 낙폭 이귀원 특파원 = 국제유가는 9일(현지시간) 20% 이상의 대폭락을 기록했다. 신종 코로나바이러스 감염증(코로나19) 사태로 투자심리가 위축된...
1,2020.03.10.,폭락한 국제 유가…DLS 또 원금 손실오나,코로나19 침체+오펙 플러스 감산 실패…국제유가 30달러선 붕괴 9일 오후 5시 기준 뉴욕상업거래소에서 4월물 WTI(서부텍사스산원유) 가격(야간장 가격)은 전 거래일 대비 배럴당 10.78달러(26.1%) 하락한 30.5달러에 거래...
2,2020.03.10.,코로나19에 유가 급락까지…올해도 '0%대 저물가' 지속 우려,신종 코로나바이러스 감염증(코로나19) 확산과 급격하게 떨어진 국제유가 영향이다. 10일 금융투자업계 등에 따르면 전날 뉴욕 선물시장에서 서부텍사스산 원유(WTI) 가격은 배럴당 30달러 언저리로 추락했다. 전 거래일...
3,2020.03.10.,코로나19 글로벌 확산 우려…공매도 제한·유가대응반 재가동(종합),정부가 신종 코로나바이러스 감염증(코로나19)의 글로벌 확산으로 국내외 금융시장 변동성이 확대되고 국제유가가 큰 폭 하락하자 주식시장 공매도를 제한하고 국제유가 대응반을 가동하기로 했다. 정부는 10일...
4,2020.03.10.,세계 증시 '블랙 먼데이'…국제유가도 폭락,"서부텍사스원유와 브렌트유 등 국제 원유 가격은 장중 한때 30%의 폭락세를 보였습니다. 1991년 걸프전 이래 하루 최대 하락폭입니다. 유가 하락은 지난주 석유수출국기구, OPEC과 러시아 등 주요 산유국이 원유 생산량..."
5,2020.03.10.,"뉴욕증시, 코로나19·유가폭락에 7%대 하락 '블랙먼데이'","뉴욕증시는 신종 코로나바이러스 감염증(코로나19) 사태 악화 우려에 더해 국제유가가 20%대의 폭락세를 보이면서 공포가 극에 달했다. '캔터 피츠제럴드'의 수석 마켓전략가인 피터 세치니는 ""(약세장..."
6,2020.03.10.,"[데일리 국제금융시장] 코로나19·유가 급락에 패닉···다우, 2,000p 이상 ...",9일(현지시간) 뉴욕증시의 주요 지수는 신종 코로나바이러스 감염증(코로나19)의 확산과 국제유가 급락에 따른 충격으로 붕괴했다. 시장정보업체 마켓워치에 따르면 이날 뉴욕증권거래소(NYSE)의...
7,2020.03.10.,[유럽증시] 코로나19·유가 폭락에 공포 지배…7∼8% 폭락,독일 DAX 7.94% ↓…2001년 '9·11 테러' 이후 가장 큰 낙폭 전성훈 특파원 = 유럽증시는 9일(현지시간) 신종 코로나바이러스 감염증(코로나19)의 세계적 확산 우려에 국제유가 폭락이 더해지며 7∼8%대의 기록적인...
8,2020.03.10.,"증권가 ""국제유가 20달러 붕괴될 수 있다""(종합)",석유수출국기구(OPEC)와 비 OPEC간의 원유 감산이 실패하면서 치킨게임이 시작되자 국제유가의 급락이 나타났다. 증권업계는 이번 유가 하락이 장기간 지속될 수 있으며 최대 배럴당 20달러를 하회하는 수준까지 떨어질...
9,2020.03.10.,"뉴욕증시 '코로나19·유가' 더블펀치에 패닉…""불에 기름부었다""(종합)","다우 2000P 넘는 최대 낙폭…""11년 강세장 끝났다"" 우려도 미 국채 초강세…유동성 확대속 연준 추가 금리인하 기대 커져 이귀원 특파원 = 신종 코로나바이러스 감염증(코로나19) 사태에 폭락세를 보인 국제유가..."
