,날짜,제목,요약
0,2018.08.10.,"국제유가, 무역전쟁 격화에 이틀째 하락…WTI 0.2%↓",국제유가는 9일(현지시간) 이틀째 하락세를 기록했다. 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI) 가격은 전날보다 배럴당 0.2%(0.13달러) 떨어진 66.81달러에 거래를 마쳤다. 런던 ICE...
1,2018.08.10.,국제유가 상승... 휘발윳값도 '껑충',= 국제유가 상승의 영향으로 우리나라 휘발윳값이 3년 8개월만에 최고치를 기록한 것으로 알려졌다. 한국석유공사에 따르면 8월 첫째주 휘발유 평균가는 리터당 1614원으로 나타났다. 여기에 미국의 이란...
2,2018.08.09.,미중 관세전쟁 격화에 국제유가 급락…WTI 3.2%↓,"미국과 중국 사이의 관세 전쟁이 격화되면서 국제유가가 급락했습니다. 현지 시각 8일 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI) 가격은 하루 새 1배럴에 2달러 23센트, 3.2% 내린 66달러 94센트에..."
3,2018.08.08.,"아시아나항공,매출급증에도 유가 때문에…(상보)","다만, 국제 유가 급등에 따른 유류비 지출이 1000억원 증가하면서 영업이익은 전년 대비 11.2% 감소했다. 아시아나항공은 역대 2분기 최대 매출 달성 배경으로 국내 및 국제 여객수요의 지속적인 증가와 화물사업의..."
4,2018.08.09.,"국제유가, 미중 무역전쟁 격화에 하락",국제유가가 미중 무역갈등의 여파로 하락했습니다. 현지시간 8일 뉴욕상업거래소에서 9월 인도분 서부 텍사스산 원유의 가격은 전날보다 배럴당 3.2% 내린 66.94달러에 거래를 마쳤습니다. 런던...
5,2018.08.09.,[미국증시] 보합…기술주 강세 vs 유가급락+미중 재격돌,이날 국제유가가 큰 폭 하락한 점은 에너지주를 중심으로 주가에 부담으로 작용했다. 9월물 서부 텍사스산 원유(WTI) 가격은 이날 배럴당 2.23달러(3.2%) 급락한 66.94달러에 장을 마감하며 약 7주래 최저치로 떨어졌다....
6,2018.08.09.,"국제유가, 미중 무역전쟁 우려에 3%대 급락",= 국제유가가 미중 무역전쟁에 대한 우려에 3% 넘게 하락했다. 8일(현지시간) 마켓워치에 따르면 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI)는 전일 대비 3.22%(2.23 달러) 하락한 배럴당 66.94...
7,2018.08.10.,"[국제유가] WTI, 이틀째 하락..미국, 이란 제재 '주목'",미국과 중국의 무역충돌이 격화하는 데 대한 부담이 유가에 지속적인 부담으로 작용했다. 중국은 전일... 중국은 특히 액화석유가스(LPG)와 디젤 등 미국산 에너지를 대거 관세 대상 품목에 포함하며 원유시장의 우려를...
8,2018.08.10.,"美·中 무역갈등, 국제유가 상승 등… 정부 “8월에도 경제불확실성 확대”","가능성, 국제유가 상승 등 위험요인이 상존한다”고 진단했다. 다만, 정부는 9개월째 우리 경제가 수출 중심의 경기 회복세라는 판단을 유지했다. 지난 그린북 7월호에서 처음 등장한 ‘불확실성 확대’라는 표현은..."
9,2018.08.08.,"국제유가, '美, 이란제재 재개'에 소폭 상승",[서울경제] 국제유가는 7일(현지시간) 상승세를 이어갔다. 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI) 가격은 배럴당 0.2%(0.16달러) 오른 69.17달러에 거래를 마쳤다. 런던 ICE 선물거래소의 10월물...
10,2018.08.08.,"국제유가, 이란 제재에 상승세 지속…WTI 69.17 달러",= 도널드 트럼프 미국 행정부가 대(對) 이란 경제 제재를 재개하면서 국제유가가 상승세를 지속했다. 7일(현지시간) 마켓워치에 따르면 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI)는 전일...
11,2018.08.10.,"진에어, 국제유가와 환율 탓에 2분기 영업이익 급감","진에어가 국제유가와 환율 등 경영환경의 악화 탓에 2분기 영업이익이 크게 줄었다. 진에어는 올해 2분기 별도기준으로 매출 2265억 원, 영업이익 62억 원, 순이익 10억 원을 거둔 것으로 10일 잠정집계했다고 밝혔다...."
12,2018.08.07.,"""국제유가, 美 이란제재로 배럴당 90달러까지 오를듯""",하루 100만배럴 넘게 공급 감소 예상 미국의 이란 제재로 원유 공급이 줄어 국제유가가 연말에 배럴당 90달러까지 오를 수 있다는 전망이 나왔다. 이란 국기[로이터=연합뉴스 자료사진] 에너지애스펙츠의 수석 석유...
13,2018.08.10.,"""사우디아라비아 원유 공식판매가격 인하는 국제유가 약세 신호""","사우디아라비아가 원유의 공식 판매가격(OSP) 프리미엄을 낮춘 것은 하반기 국제유가가 약세를 보일 신호로 분석됐다. 손지우 SK증권 연구원은 10일 ""사우디아라비아가 원유 공식 판매가격 프리미엄을 낮췄다""며 ""주요..."
14,2018.08.10.,"국제 유가, 중국 리스크 주시하며 보합권 거래",[뉴욕=뉴스핌] 황숙혜 특파원 = 국제 유가가 보합권에서 완만하게 하락했다. 이에 따라 미국 원유 가격이 이틀 연속 떨어졌지만 낙폭은 제한적이었다. 원유 [사진= 로이터 뉴스핌] 중국이 관세 대상 미국산 수입...
15,2018.08.09.,"GS, 2분기 영업익 전년比 42%↑ 5572억원...""국제유가 상승 덕""",국제유가 상승 덕분에 ㈜GS가 2·4분기 호실적을 기록했다. 종속회사인 GS칼텍스가 원유가격 상승에 따른 재고관련 이익이 크게 늘어나면서 ㈜GS 실적이 증가한 덕분이다. ㈜GS는 올해 2·4분기(4~6월) 연결기준...
16,2018.08.10.,"하반기 수출·소비 위축, 유가·물가 상승 '경고음'… 정부는 ""회복세""",현재 국제유가 인상에 따라 국내 기름값도 덩달아 고공행진중이다. 오는 11월부터 이란의 원유 수출 금지가 담긴 2단계 제재가 실행되면 원유 공급량이 줄어 유가는 더 오를 공산이 크다. 이란과의 거래가 중단되면...
17,2018.08.09.,[미국증시] 보합…기술주 강세 vs 유가급락+미중 재격돌,이날 국제유가가 큰 폭 하락한 점은 에너지주를 중심으로 주가에 부담으로 작용했다. 9월물 서부 텍사스산 원유(WTI) 가격은 이날 배럴당 2.23달러(3.2%) 급락한 66.94달러에 장을 마감하며 약 7주래 최저치로 떨어졌다....
18,2018.08.10.,[국제유가]中수요 감소 우려에 하락…WTI 0.2%↓,김신회 기자 raskol@ajunews.com [사진=로이터·연합뉴스] 국제유가가 9일(현지시간) 미·중 무역전쟁을 둘러싼 우려 속에 중국의 원유 수요 감소 조짐이 나타나면서 하락했다. 미국 뉴욕상업거래소(NYMEX)에서 9월...
