,날짜,제목,요약
0,2021.05.10.,완만한 회복세에도 '불안감'…변이 확산·유가상승,"국제유가 상승과 관련해서는 석유류 제품가격 오름세가 소비자 물가 상승의 주된 요인으로 분석했다. 10일 KDI가 공개한 '경제동향 5월호'를 보면 ""최근 우리 경제는 코로나19 확산이 지속됨에도 불구하고 제조업을..."
1,2021.05.10.,저유가·코로나 회복에 해외수주 돌파...삼성물산 1위,코로나19 백신 보급 확대에 따른 각국의 경제활동과 인프라 확충 재개 움직임과 국제유가 상승에 따른 정유·석유 화학 등의 산업설비 공사 수주가 증가했다. 2021년 세계 건설시장은 전년 대비 4.8% 성장한 11조...
2,2021.05.10.,"KDI ""물가상승 주범은 유가…하반기도 상승 이끌 것""","최근 국제유가 상승으로 인한 석유류 제품가격 상승이 소비자 물가 상승의 가장 큰 원인이라는 분석이 나왔다. 한국개발연구원(KDI)는 10일 펴낸 '경제동향 5월호'에서 ""국제유가(두바이유)가 기저효과로 인해..."
3,2021.05.09.,국제유가·농산물 값 급등…코로나發 인플레이션 공포 커진다,여기에 작년 코로나19 사태로 급락했던 국제유가가 다시 오르기 시작하면서 석유류를 포함한 공업제품(2.3%)까지 지난해 1월(2.3%) 이후 가장 큰 폭으로 상승했다. 기저효과와 세계 경기 회복에 따른 국제 유가 오름세를...
4,2021.05.06.,"KDI ""국제유가 70달러시 국내물가 0.8%p 더 끌어올려""","최근 국제유가가 당초 예상을 넘어 급등하면서 기존 물가상승률 전망치도 수정이 불가피해졌다. 다만 유가 상승이 추세적 인플레이션으로 이어질 가능성은 여전히 크지 않은 것으로 분석됐다. ""유가 상승..."
5,2021.05.08.,[이번주 유가 동향]국내 휘발윳값 1534.3원…4주 만에 상승,(사진=연합뉴스)이번주(3~6일) 국제유가의 경우 우리나라로 수입되는 원유 기준인 두바이유가 전주보다 2.4달러 오른 배럴당 66.3달러를 기록했다. 국제 유가 등락은 통상 2주여 후 국내 주유소 가격에 반영된다....
6,2021.05.10.,"5월1주 국제유가, 백신 접종 확산 ↑",5월 첫째주 국제유가가 미국 코로나19 백신 접종 확산으로 인한 석유수요 기대 등으로 인해 전주대비 상승했다. 한국석유공사 석유정보센터(PISC)가 발표한 ‘5월1주 주간 국제유가동향’에 따르면 대서양 유종인...
7,2021.05.10.,유가 상승·中 경기개선 등에 유연탄가격 상승,"국제유가 상승과 중국의 경기회복 효과로 유연탄가격이 상승한 가운데 미국의 대규모 인프라 패키지정책 추진, 미 달러화 약세 및 중국의 경기회복에 따른 비철금속인 구리와 니켈, 아연가격이 올랐다...."
8,2021.05.10.,사이버 공격에 美 최대 송유관 ‘셧다운’…바이든 ‘비상사태’ 선언...유가...,이번 연료 중단 소식에 국제 유가까지 영향을 받는 모양새다. 공급 중단 소식이 전해졌던 지난 7일 미 뉴욕상업거래소(NYMEX) 6월물 서부텍사스산원유(WTI) 가격도 전일대비 0.19달러(0.3%) 오른 배럴당 64.90달러에 장을...
9,2021.05.05.,유가 상승에 보복 소비까지 더해지면…인플레 공포 현실되나,"특히 파(270%), 사과(51.6%), 고춧가루(35.2%) 등 농산물이 17.9%나 뛰었고, 국제유가 강세로 석유류(13.4%) 등 공업제품 물가도 2.3% 높아졌다. 앞서 한은이 지난달 21일 내놓은 3월 생산자물가지수(106.85)도 2월보다 0.9% 올라..."
