,날짜,제목,요약
0,2019.09.10.,사우디 '유가 끌어올리기' 통할까,국제유가는 일단 사우디의 의도가 적중하는 듯 하며 올랐다. 지난 주말 전격적인 석유장관 교체 뒤 처음 장이 열린 9일(현지시간) 국제유가는 브렌트유가 배럴당 63달러를 넘어서는 등 0.6%가 넘는 상승세를 기록했다....
1,2019.09.10.,"국제유가, 사우디 감산지속 입장 속 강세…WTI 2.4%↑",이준서 특파원 = 국제유가는 9일(현지시간) 비교적 큰 폭으로 올랐다. 4거래일 연속 오름세다. 이날 뉴욕상업거래소(NYMEX)에서 10월 인도분 서부 텍사스산 원유(WTI)는 배럴당 2.4%(1.33달러) 상승한 57.85달러에 거래를...
2,2019.09.09.,"""국제유가, 무역전쟁 때문에 정상보다 하락""",미국과 중국 사이의 무역전쟁 때문에 국제유가가 정상적인 가격보다 싸졌다는 분석이 나왔다. 9일 연합뉴스가 블룸버그를 인용한 보도에 따르면 영국 컨설팅업체 에너지 애스팩츠의 석유 부문 수석 애널리스트인 암리타...
3,2019.09.10.,[국제유가]'사우디 감산 지속 발언-美 달러 약세' 영향 급등…'WTI 57.85달러...,"뉴데일리 송승근 기자 = 국제유가가 사우디 에너지 장관의 감산 지속 발언, 중국의 8월 원유 수입 증가, 미국 달러화 약세 등의 영향으로 급등했다. 10일 한국석유공사에 따르면 9일(현지시각) 뉴욕상업거래소..."
4,2019.09.10.,"에너지 장관된 사우디 왕자 ""불경기 안온다. 유가 걱정 마""",알 팔리는 아람코 운영 및 국제유가 문제를 놓고 사우디 왕실과 이견을 보여왔던 것으로 알려졌다. 압둘아지즈 신임 장관은 수십년간 에너지 업계에서 잔뼈가 굵은 베테랑이다. 빈 살만 왕세자의 이복형이기도 하다....
5,2019.09.09.,"대신證 ""국제유가, 하반기 63달러 넘어서기 힘들 것""","대신증권은 9일 ""투자 심리 개선으로 국제유가 상승이 더 이어질 수는 있지만 하반기 국제유가는 63달러를 넘어서기 힘들 것으로 판단한다""고 예상했다. 김소현 연구원은 ""국제유가는 지난 5일 기준으로 배럴당 56.3달러를..."
6,2019.09.08.,[글로벌 인사이드] 저유가에 '불문율' 깬 사우디 왕실···감산 탄력받나,살만 빈 압둘아지즈 국왕이 주요 장관직에 왕가의 인물들을 임명하지 않는다는 오랜 불문율까지 깨며 단행한 이번 인사는 사우디 경제는 물론 국제유가에도 상당한 영향을 미칠 것으로 전망된다. 파이낸셜타임스(FT)는...
7,2019.09.08.,사우디 에너지장관 교체는 낮은 국제유가 때문?,살만 사우디아라비아 국왕이 8일 칼리드 알-팔리 에너지장관을 모함메드 빈 살만 왕세자의 이복형인 압둘라지즈 빈 살만 왕자로 교체한 것은 국제유가가 배럴당 60달러 밑으로 떨어진 영향 때문인 것으로 보인다고...
8,2019.09.10.,"뉴욕증시,미중 무역협상 기대 다우 0.14% 상승…국제유가 WTI 2.4%↑",국제유가는  사우디아라비아 측이 감산 정책을 이어가겠다는 입장을 밝히면서 급등했다. 이날 뉴욕상업거래소(NYMEX)에서 10월 인도분 서부 텍사스산 원유(WTI)는 배럴당 2.4%(1.33달러) 상승한 57.85달러에 거래를...
9,2019.09.09.,"""미국이 원하는 건 '에너지 지배'...국제유가는 관심 없어""","그는 국제유가가 어찌되든 미국이 원하는 건 에너지 지배라고 말했다. 브룰렛 부장관은 9일(현지시간) 아랍에미리트(UAE) 아부다비에서 개막한 세계에너지총회(WEC) 중에 미국 경제전문방송 CNBC와 가진 회견에서 ""우리의..."
10,2019.09.06.,"국제유가, 미중협상 소식에 강보합…WTI 0.1%↑",이귀원 특파원 = 국제유가는 5일(현지시간) 강보합세를 나타냈다. 이날 뉴욕상업거래소(NYMEX)에서 10월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 0.1%(0.04달러) 오른 56.30달러에 거래를 마쳤다. 런던 ICE...
11,2019.09.10.,9일 국제유가 상승,"한국석유공사는 9일 국제유가는 사우디 에너지 장관의 감산 지속 발언, 중국의 8월 원유수입 증가, 미 달러화 약세 등의 영향으로 상승했고, 미국의 생산 증대 가능성 시사, 미 트럼프 대통령의 이란과의 대화..."
12,2019.09.05.,"국제유가, 中지표 개선·홍콩 송환법 철회에 급등…WTI 4.3%↑",이귀원 특파원 = 국제유가는 4일(현지시간) 급등했다. 이날 뉴욕상업거래소(NYMEX)에서 10월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 4.3%(2.32달러) 뛴 56.26달러에 거래를 마쳤다. 런던 ICE 선물거래소의...
13,2019.09.07.,"국제유가, 파월 발언에 강세…WTI 0.4%↑",이준서 특파원 = 국제유가는 6일(현지시간) 상승했다. 이날 뉴욕상업거래소(NYMEX)에서 10월 인도분 서부 텍사스산 원유(WTI)는 배럴당 0.4%(0.22달러) 상승한 56.52달러에 거래를 마쳤다. 이로써 WTI는 이번 주 2.6...
14,2019.09.09.,6일 국제유가 상승,"한국석유공사는 6일 국제유가는 미 연준 금리인하 시사발언, 중국 인민은행 지준율 인하 발표, 미 달러화 약세 등의 영향으로 상승했고, 올해 및 내년 석유수요 증분에 대한 부정적 전망 등은 상승폭을..."
15,2019.09.04.,"국제유가, 미중 무역갈등 속 약세…WTI 2.1%↓",이준서 특파원 = 국제유가는 3일(현지시간) 하락했다. 이날 뉴욕상업거래소(NYMEX)에서 10월 인도분 서부 텍사스산 원유(WTI)는 배럴당 2.1%(1.16달러) 하락한 53.94달러에 거래를 마쳤다. 런던 ICE 선물거래소의 12월물...
16,2019.09.10.,"[서울와이어 10일 모닝 주요뉴스]뉴욕증시,미중 무역협상 기대 다우 0.14% 상...","▲ 뉴욕증시,미중 무역협상 기대 다우 0.14% 상승…국제유가 WTI 2.4%↑ 미국 뉴욕증시는 미·중 무역협상 기대감과 각국 중앙은행의 경기 부양책등으로 다우지수는 상승한 반면 나스닥은 하락, 혼조세로 마감했다...."
17,2019.09.10.,"[글로벌 이슈] 사우디 신임 에너지부 장관 ""현재 감산 정채 지속""...국제유가...","안정적인 유가를 원한다면서, 현재의 감산 정책을 이어갈 필요가 있다고 주장했습니다. 그는 기자들에게 산유국들은 모두에게 이익이 되는 안정적인 유가를 원한다고 말하면서 ""다른 OPEC 회원국을 내가 예단하는 것은..."
18,2019.09.08.,"사우디, 저유가에 에너지장관 경질",사우디가 균형 예산을 편성할 수 있으려면 국제유가가 배럴당 80달러를 넘어야 한다고 관측통들은 지적했다. 관영 SANA통신이 보도한 국왕 포고령에 따르면 에너지장관으로 새로 임명된 압둘라지즈 빈살만 왕자는 에너지...
19,2019.09.10.,"""사우디 감산 지속""...국제 유가 껑충 & 장중 미국증시 에너지주 급등",9일(미국시각) 국제 유가가 상승했다. 사우디의 원유감산 의지 지속에다 미-중 무역협상 진전 기대감 속에 유가가 올랐다. 장중 미국증시 에너지섹터의 주가도 급등흐름을 보였다. 블룸버그 집계에 따르면 이날 미국...
20,2019.09.03.,국제유가 하락 지속…올 4월 고점 대비 16∼18% 하락,글로벌 경기둔화·미국 증산 > OPEC 감산·중동정세 불안 미국과 중국의 무역전쟁 격화와 더불어 국제유가가 계속 떨어지고 있다. 3일(현지시간) 현재 미국 뉴욕상업거래소(NYMEX)에서 10월 인도분 서부 텍사스산 원유(WTI)...
21,2019.09.09.,"9월 1주차 국제 유가, 생산 증가 ↓",8월29일부터 9월5일까지의 국제유가는 OPEC의 8월 생산량 증가 및 러시아의 8월 생산량 생산 쿼터 초과 등이 추정되며 하락했다. 한국석유공사 석유동향팀은 6일 ‘유가정보서비스 오피넷’을 통해 ‘2019년 9월...
22,2019.09.02.,"유류세 환원 첫날 유가 급등… “주유소, 가격부터 올리고 보나”",업계 관계자는 “국제유가가 불안정할 때마다 한시적으로 유류세를 인하하는 것보다 세율을 국제유가에 맞춰 탄력적으로 적용하는 게 더 합리적인 방식”이라고 말했다.
23,2019.09.03.,"기재차관 ""디플레이션 아니다…0% 물가, 농산물·유가 탓""(상보)","김용범 기획재정부 1차관은 8월 물가상승률이 사상 최저를 기록한 데 대해 ""농축산물 가격 하락과 국제유가 하락에 따른 것으로 디플레이션 상황이 아니다""라고 말했다. 김 차관은 이날 서울 중구 은행회관에서..."
