,날짜,제목,요약
0,2021.07.10.,[이번주 유가 동향]국내 휘발윳값 10주째 상승…경윳값도 1400원 돌파,[사진=이데일리 방인권 기자]이번주(5~8일) 국제유가의 경우 우리나라로 수입되는 원유 기준인 두바이유가 전주보다 0.1달러 오른 배럴당 73.6달러를 기록했다. 국제 유가 등락은 통상 2주여 후 국내 주유소...
1,2021.07.08.,"정부, 유가 변동성 확대에 석유시장 긴급 점검",에너지기관들 “OPEC+ 회의 취소로 유가 불확실성 높지만 안정될 것” 최근 산유국들의 증산 관련 논의가 교착 상태에 빠지면서 국제유가 변동성이 커지자 정부가 8일 긴급회의를 소집해 국내 석유 시장에 미치는 영향...
2,2021.07.10.,"국제유가, 'OPEC+' 회의 불확실성에 반등...WTI, 2.2% 상승하며 75달러 근접",국제유가가 'OPEC+' 협의 불확실성에 또다시 상승했다. 국제유가는 9일(현지시간) 'OPEC+' 회의 불확실성에 WTI가 재차 반등하며 75달러에 근접했다. 출처=로이터통신 9일(현지시간) 미국 뉴욕상업거래소에서 8월 인도분...
3,2021.07.10.,"국제유가, 원유재고 감소에 이틀 연속 상승···WTI 2.2%↑",국제유가가 미국 재고 감소와 주요 산유국들의 증산 합의 불확실성에 급등했다. 9일(현지시간) 뉴욕상업거래소(NYMEX)에서 8월물 서부 텍사스산 원유(WTI)는 전 거래일 대비 2.2% 상승한 배럴당 74.56달러에 마감했다....
4,2021.07.10.,"[앤츠랩]""국제유가 오르면 오른다더니…"" 하나도 안 오른 이 종목",국제유가가 고공행진 하면서 정유주에 대한 관심도 커지고 있습니다. 오늘은 유가의 영향을 받는 관련주 중에 가장 안 오른 한국가스공사에 대해 알아보겠습니다. 한국가스공사는 해외에서 천연가스를 들여와서 국내...
5,2021.07.09.,"국제유가, 美 원유재고 감소에 상승…WTI 1%↑ [인더머니]",국제유가는 미국의 원유재고가 예상보다 많이 감소했다는 소식에 상승세를 나타냈다. 이틀 하락 뒤 상승반전이다. 8일(현지시간) 뉴욕상업거래소에서 8월물 서부텍사스산원유(WTI) 가격은 전날보다 0.74달러(1%) 오른...
6,2021.07.08.,"[원자재시황] 국제유가, OPEC+ 협상 지연에 하락..WTI 1.6%↓",국제유가는 석유수출국기구(OPEC) 플러스(+) 산유국들의 산유량 결정 협의에 진척이 없는 가운데 하락했다. 7일(현지시간) 뉴욕상업거래소에서 8월물 서부텍사스산원유(WTI) 가격은 전 거래일보다 1.17달러(1.6%) 하락한...
7,2021.07.10.,"'고공행진' 국제유가, 산업계는 원가부담 확대 '울상'…휘발유 1700원 육박",국제유가 상승분이 국내 기름값에도 반영되면서 급등하는 추세다. 이같은 휘발유 평균 가격은 지난달 28일 1600원을 돌파한 이후로 계속 오름세다. 휘발유 가격이 1600원을 넘긴 것은 2018년 11월 초 이후 2년...
8,2021.07.06.,‘사우디 vs UAE’ OPEC+ 회의 취소…국제유가 급등,"합의 불발 소식이 전해지면서 국제유가는 큰 폭으로 뛰었습니다. 류정훈 기자, 회의가 또 결론 없이 끝났다고요? [기자] 네. 이미 두 차례 연기됐던 OPEC+ 각료회의가 또 합의 도출에 실패했습니다. 밤사이 회의에선..."
9,2021.07.10.,[국제유가] 美 석유재고 감소 여파에 9일 유가 상승,"중동산 Dubai유 등 국제유가의 일일 변동 현황 9일 국제유가는 전일 미국 석유재고 감소 여파, 미국 증시 사상 최고치 경신 및 미 달러화 가치 하락 등 위험자산 선호심리 회복으로 상승했다. 한국석유공사(사장..."
10,2021.07.10.,산유국 눈치보기 지속...WTI 등 국제유가는 '급등',CNBC 등 외신에 따르면 국제유가는 OPEC+ 산유국 회의가 지난 5일 무산된 이후 변동성이 높아지고 있다. 앞서 사우디아라비아와 러시아는 산유국 회의에서 오는 연말까지 매달 하루 40만배럴의 감산 완화에 잠정...
11,2021.07.06.,OPEC+ 회의 취소에 증산 무산…국제유가 급등,증산 합의가 무산되자 국제유가는 급등했다. CNBC 등 외신에 따르면 당초 이날 재개하기로 했던 OPEC+ 각료회의가 취소됐다. OPEC+ 산유국들은 8월부터 원유를 증산하는 데 대해 협의하고 있었다. 앞서 OPEC+는 지난해...
12,2021.07.10.,"국제유가, 원유재고 감소에 이틀 연속 상승···WTI 2.2%↑",국제유가가 미국 재고 감소와 주요 산유국들의 증산 합의 불확실성에 급등했다. 9일(현지시간) 뉴욕상업거래소(NYMEX)에서 8월물 서부 텍사스산 원유(WTI)는 전 거래일 대비 2.2% 상승한 배럴당 74.56달러에 마감했다....
13,2021.07.09.,"치솟는 국제유가에… 석화업계, 수익성 다시 악화 우려","2분기까지는 사상 최대실적 하반기엔 이익 감소 불가피 국제유가의 고공행진으로 인해 석유화학업계가 하반기 수익성 악화를 우려하고 있다. 유가가 오르면 원재료 가격이 상승하는 반면, 석유화학제품 가격은..."
14,2021.07.06.,끝없는 ‘유가 고공행진’…휘발윳값 1613.97원 기록,최근 휘발윳값이 리터당 1600원을 넘어선 가운데 선행 지표인 국제 유가에 따라 당분간 기름값 상승세가 이어질 것이라는 전망이 나왔다. 6일 오전 9시 기준 전국 평균 휘발윳값은 리터당 1613.97원이다. 이날...
15,2021.07.09.,국제 유가 상승에... 6월 중국 생산자물가 8.8%↑,"화창증권은 국제 유가의 강세가 PPI 상승을 견인했다고 분석했다. 6월 브렌트유 평균 가격은 전월 대비 7.5% 올랐다. 다만, 구리와 철근 가격이 약세를 보이며 PPI 상승폭을 제한한 것으로 풀이된다. 6월..."
16,2021.07.05.,"""직접 재배해 먹어야 하나"" 밥상물가 30년 만에 최고… 고유가 ‘악몽’도 우...",업계에서는 국제유가가 오르고 있어 당분간 상승세는 이어질 것으로 예상한다. 일부 전문가들은 현재 배럴당 70달러선을 넘은 유가가 연내 100달러까지 치솟을 수 있다는 전망도 내놓는다. 여기에 원·달러 환율도...
17,2021.07.09.,[국제유가] 美 석유재고 감소 소식에 8일 유가 상승,"중동산 Dubai유 등 국제유가의 일일 변동 현황 8일 국제유가는 미 석유재고 감소 등으로 상승한 가운데 코로나19 델타 변이 바이러스 확산, OPEC+의 감산량 합의 불확실성 등은 유가 상승폭을 제한시켰다...."
18,2021.07.10.,전국 유가 상승세 지속..강원도 10주째 올라,"국제 유가 상승으로 전국 휘발윳값 상승세가 이어지는 가운데, 강원도 유가도 10주째 오르고 있습니다. 한국석유공사 유가정보 서비스에 따르면, 강원도 평균 휘발윳값은 리터 당 1,625원, 경유는 리터 당 1..."
19,2021.07.09.,국제유가 1%대 상승…WTI 배럴당 72.94달러 마감,로이터=연합뉴스 국제유가는 8일(현지시간) 미국의 원유 재고 감소 소식이 1% 가량 상승 마감됐다. 로이터통신은 8일 미국의 원유와 휘발유 재고가 당초 전망치보다 큰 폭으로 감소했다는 소식이 전해지면서...
20,2021.07.06.,"국제유가, 배럴당 77달러 돌파...오펙 플러스 증산 무산",산유국들이 증산 합의를 위해 개최하려던 회의가 취소되면서 국제유가가 배럴당 77달러도 돌파했습니다. 산유국들이 다음 회의 날짜도 잡지 못하면서 국제유가는 당분간 오름세가 불가피할 것으로 보입니다. 김원배...
21,2021.07.06.,OPEC+ 회의 취소 돌발사태에 국제유가 급등...WTI 75달러 돌파,이날 증산 합의 불발 소식에 국제유가는 큰 폭으로 뛰었다. 국제유가 기준물 북해 브렌트유는 1% 넘게 뛰면서 배럴당 77달러 선을 돌파했다. 이는 2018년 10월 이후 최고치다.또 미국 유가 기준물인 서부텍사스산 원유...
22,2021.07.06.,"[유가 고공행진③]전문가·업계 ""휘발윳값 더오를듯…2000원은 지나친 우려""","업계 한 관계자는 ""휘발유값이 국제유가에 연동돼 있어서 원유 가격이 오르면 제품 가격(휘발유값)이 오르지만, 원유가가 오른 비율만큼 제품가가 오르진 않는다""고 말했다. 이어 ""원유가 상승률 이상으로 제품 가격이..."
23,2021.07.09.,유가 80달러 바라보는데…美 셰일 '손실 눈덩이',"최근 국제 유가가 치솟고 있지만 미국 셰일업체 등이 증산에 나서지 못하는 배경에는 잘못된 ‘헤지(위험 분산) 계약’이 있다는 분석이 나왔다. 올해 유가를 배럴당 55달러 선으로 예상하고 계약을 맺었는데, 최근..."
24,2021.07.07.,"[원자재시황] 국제유가, OPEC+ 회의 결렬 속 차익매물 실현에 2% 넘게 하락",국제유가는 석유수출국기구(OPEC) 플러스(+) 산유국들이 감산 완화 규모를 결정하지 못한 가운데 차익실현 압력에 2% 이상 하락했다. 6일(현지시간) 뉴욕상업거래소에서 8월물 서부텍사스산원유(WTI) 가격은 전...
25,2021.07.09.,"너무 오른 유가, 곧 100달러 시대? “지금 원유ETF 넣어도 남길 것 적어”",1년새 ‘롤러코스터’ 탄 油價 국제 유가의 상징적 지표로 활용되는 미국 서부텍사스유(WTI) 선물(先物) 가격은 지난 6일(현지시각) 배럴당 73.37달러로 마감했다. 이는 올해 들어서만 51% 상승한 것이다. 지난해 이후 WTI...
26,2021.07.10.,"[속보] 국제유가, 급등 마감···WTI 2.2%↑",국제유가가 하루 만에 다시 급등했다. 최근 국제유가는 주요 산유국들의 증산 합의 불발에 따른 불확실성 증대로 인해 큰 변동성 속에 연일 등락을 거듭하며 춤을 추는 장세를 연출하고 있다. 이날 시장은...
27,2021.07.09.,"정부, 유가 급등에 수급관리 및 폭리 방지 점검","회의에서는 최근 국제유가 동향 및 국내·외 석유제품의 시장가격을 진단하고, 국내 정유사의 석유수급 현황과 석유유통, 비축현황 등을 점검했다. 산업부 에너지자원실장, 석유산업과장,(업계) 대한석유협회, 정유 4사..."
28,2021.07.10.,"뉴욕증시, 낙폭 과대에 하루 만에 반등…국제유가, OPEC+ 산유량 협상 불확실...","한편, 국제유가는 석유수출국기구(OPEC) 플러스(+) 산유국들의 산유량 협상 불확실성이 지속되는 가운데 올랐다. 이날 뉴욕상업거래소에서 8월물 서부텍사스산원유(WTI) 가격은 전장보다 2.2% 오른 배럴당 74.56달러에..."
29,2021.07.06.,국제유가 80달러선 근접에 국내 휘발유가격도 급등,국제유가가 주요 산유국들 간 협의체인 OPEC+(석유수출국기구(OPEC) 회원국과 비OPEC 협의체) 회의가 결렬됐다는 소식에 최근 3년 이래 최고치인 배럴당 75달러 선을 넘어섰다. 서울 휘발유 평균 가격은 ℓ당 1700원...
30,2021.07.09.,"국제유가, 美 원유제고 감소에 상승 WTI 1%↑…금값은 엿새만에 하락",네이버 증권정보 국제유가가 미국의 원유재고가 예상보다 많이 감소했다는 소식에 상승 마감했다. 8일(현지시간) 뉴욕상업거래소에서 미국 서부텍사스원유(WTI) 8월 인도분 선물은 전장 대비 74센트(1.0%) 상승한...
31,2021.07.06.,[국제유가]OPEC+ 산유량 합의 결렬…WTI 80달러 초읽기,국제유가가 급등했다. 배럴당 70달러 중후반대까지 치솟았다. 5일(현지시간) 미국 뉴욕상업거래소에서 8월 인도분 서부텍사스산원유(WTI)는 전거래일 대비 배럴당 1.6% 오른 76.33달러에 거래를 마쳤다. 이는 지난...
32,2021.07.07.,"아랍에미리트 왕자, 사우디 왕세자에 도전장…유가 ‘출렁’",중동의 작은 석유 부국 아랍에미리트가 ‘국제 유가를 흔드는 손’으로 급부상하고 있다. 이 나라는 최근 석유 수출국들의 증산 논의에 제동을 거는 등 사우디아라비아 중심의 중동 질서에 대한 도전 의지를 감추지 않고...
33,2021.07.07.,"미 셰일업체 유가 상승에도 증산 주저…""헤지계약도 원인""",이에 따르면 일반적으로 국제 유가가 오르면 셰일업체들은 생산량을 늘리지만 최근 유가가 배럴당 70달러를 넘어서면서 수년만의 최고 수준으로 올라섰음에도 올해는 예년과 달리 소극적인 모습을 보이고 있다. 실제...
