,날짜,제목,요약
0,2017.07.09.,"한국은행 ""국제유가 변동성 이어질듯…공급과잉 우려""",최근 국제유가가 약세를 보인 가운데 올해 하반기에도 원유 공급과잉 우려가 지속될 것이라는 전망이 나왔다. 한국은행은 9일 해외경제포커스에 게재한 '2017년 상반기 국제원자재시장 동향 및 하반기 여건 점검...
1,2017.07.10.,"""국제유가, 9월 본격 반등 기대""-신한금투","[에너지경제신문=나유라 기자] 국제유가가 9월부터 본격적으로 반등할 것이라는 분석이 나왔다. 이응주 신한금융투자 연구원은 ""OPEC 감산과 수요 증가에도 미국, 나이지리아, 리비아 등 증산으로 2분기에도 공급 과잉..."
2,2017.07.10.,국제·유가 44달러로 추락···저유가 공포 또 번질까,"연중 최저치까지 1.7달러 남아···22~24일 OPEC 장관급 회의 주목 키움 ""재정 위기 산유국들 증산 가능성···40달러 무너질 것"" 신한 ""수요 본격적으로 늘어나는 9월부터 50달러 넘어설 것"" = 국제유가가 다시 배럴당..."
3,2017.07.10.,"""'감산 예외' 리비아·나이지리아도 산유량 제한""…국제유가 반등",이 발언에 국제유가는 지난주의 낙폭을 만회하기 시작했다. 이삼 알마르주크 쿠웨이트 석유장관은 10일 블룸버그와 회견에서 석유수출국기구(OPEC)와 비OPEC 산유국들이 오는 24일 러시아 상트페테르부르크에서 예정된...
4,2017.07.10.,[국제유가] OPEC 감산 협약 의구심 증폭… WTI 2.8%↓,본문 이미지 영역 국제유가 전망. /사진=머니투데이 DB 국제유가가 석유수출국기구(OPEC)의 원유 수출이 올해 들어 최고치를 기록했다는 소식에 하락했다. 미국의 지난주 산유량과 원유 시추공이 증가하면서 OPEC...
5,2017.07.10.,"국내 정유4사, 국제유가 9월부터 올라 실적개선 기회 잡을 수도","SK이노베이션과 에쓰오일, GS칼텍스와 현대오일뱅크 등 국내 정유4사가 9월부터 국제유가 상승에 따른 실적개선의 기회를 잡을 수도 있다. 이응주 신한금융투자 연구원은 10일 ""국제유가가 9월부터 석유제품 판매성수기..."
6,2017.07.10.,"[글로벌 시황] 유럽증시, 국제유가 급락에 투자심리 위축..보합권","< 임유영 MTN앵커 > - 뉴욕 증시, 고용지표 호조·기술주 반등에 상승 마감 - 다우지수, 국제유가 급락에 상승폭 제한 - 업종, 11개 업종 中 8개 상승 - 유럽증시, 국제유가 급락에 투자심리 위축, 보합권 - 아시아증시, 日..."
7,2017.07.10.,"[특징주]항공株, 유가 급락에 동반 상승",[ 항공주들이 국제 유가 급락 소식에 동반 상승세다. 10일 오전 9시41분 현재 아시아나항공은 전 거래일보다 170원(2.95%) 오른 5940원에 거래되고 있다. 같은 시각 대한항공(2.09%)과 한진칼(1.84%) 등도 상승 중이다....
8,2017.07.10.,(연결고리)국제유가 하락 재개와 소비재,"연결고리#1 출연: 허준식 해설위원   10일 연결고리에서는 국제유가 하락 재개와 소비재를 조명했다. 주말 유가 하락과 관련해 국내증시에선 소비재 주 선전 가능성과 제약바이오 반등, 항공주, 배터리 관련주가..."
9,2017.07.10.,[특징주]항공주↑·정유주↓…유가 또 45달러 깨져,"<아이뉴스24> [아이뉴스24 김다운기자] 국제유가가 급락세를 보이면서 반사이익이 기대되는 항공주가 강세를 보이는 반면, 정유주는 하락하고 있다. 10일 오전 9시38분 현재 아시아나항공은 전 거래일 대비 2.08..."
10,2017.07.10.,"국내 정유4사, 국제유가 9월부터 올라 실적개선 기회 잡을 수도","SK이노베이션과 에쓰오일, GS칼텍스와 현대오일뱅크 등 국내 정유4사가 9월부터 국제유가 상승에 따른 실적개선의 기회를 잡을 수도 있다. 이응주 신한금융투자 연구원은 10일 ""국제유가가 9월부터 석유제품 판매성수기..."
11,2017.07.10.,"[글로벌 시황] 유럽증시, 국제유가 급락에 투자심리 위축..보합권","< 임유영 MTN앵커 > - 뉴욕 증시, 고용지표 호조·기술주 반등에 상승 마감 - 다우지수, 국제유가 급락에 상승폭 제한 - 업종, 11개 업종 中 8개 상승 - 유럽증시, 국제유가 급락에 투자심리 위축, 보합권 - 아시아증시, 日..."
12,2017.07.10.,"[특징주]항공株, 유가 급락에 동반 상승",[ 항공주들이 국제 유가 급락 소식에 동반 상승세다. 10일 오전 9시41분 현재 아시아나항공은 전 거래일보다 170원(2.95%) 오른 5940원에 거래되고 있다. 같은 시각 대한항공(2.09%)과 한진칼(1.84%) 등도 상승 중이다....
