,날짜,제목,요약
0,2021.10.10.,3주 연속 휘발유 가격 올라...'국제유가까지↑',"국제유가가 오르면서 영향으로, 지속적으로 기름값이 상승할 전망이다. (사진=픽사베이) 국제유가가 오르면서 영향으로, 지속적으로 기름값이 상승할 전망이다. 9일 한국석유공사 유가정보서비스 오피넷에 따르면..."
1,2021.10.09.,[이번주 유가 동향]국내 휘발윳값 1654.4원…3주째 상승,[사진=이데일리 방인권 기자]이번주(3~8일) 국제유가의 경우 우리나라로 수입되는 원유 기준인 두바이유가 전주보다 2.5달러 오른 배럴당 78.7달러를 기록했다. 국제 유가 등락은 통상 2주여 후 국내 주유소 가격에...
2,2021.10.09.,"국제유가, WTI 장중 80달러 돌파… 2014년 이후 최고치",석유 시추 현장 뉴욕유가가 2014년 이후 처음으로 배럴당 80달러를 넘어섰다. 8일(미국 동부시간) 뉴욕상업거래소에서 11월물 서부텍사스산원유(WTI) 가격은 전장보다 1.05달러(1.3%) 오른 배럴당 79.35달러로 마감했다. WTI...
3,2021.10.09.,올 겨울 유가 배럴당 100달러 돌파하나?,올 겨울에 국제유가가 배럴당 100달러를 돌파할 가능성이 제기되고 있다. 기상당국에서 이번 겨울이 추울 것으로 예보하고 있어 원유를 비롯한 에너지 가격을 높이 끌어올릴 것이라며 날씨를 최대 변수로 꼽았다....
4,2021.10.09.,천연가스-석탄 대란 와중에 유가 7년 만에 80달러 넘겨,"박형기 기자,신기림 기자 = 천연가스가 사상최고치를 기록하고 석탄도 2008년 글로벌 금융위기 이후 최고치를 보이고 있는 가운데, 국제유가도 80달러를 넘어섰다. 유가가 80달러를 넘긴 것은 7년 만이다. ◇ 국제유가..."
5,2021.10.09.,"'유가상승 지속'...WTI, 7년 만에 80달러 넘었다",국제유가 상승세가 이아지고 있다. 미국 원유선물이 7년 만에 배럴당 80달러를 넘겨 2014년 이후 최고로 올랐다. 8일(현지시간) 미 서부텍사스원유(WTI) 11월 인도분 선물은 전장 대비 1.05달러(1.34%) 올라 배럴당...
6,2021.10.05.,"국제유가, OPEC+ 증산 속도 유지에 7년 내 최고치","기사내용 요약WTI, 77.62달러에 마감…브렌트유 81달러선 넘어 석유수출국기구(OPEC)와 러시아 등 비(非) OPEC 주요 산유국 협의체인 OPEC플러스(OPEC+)가 하루 40만 배럴 증산 속도를 유지하기로 하면서 국제유가가 4일..."
7,2021.10.06.,가공식품·전기요금에 유가까지…연말 물가 빗장 풀리나,국제유가 등 원자재 가격 상승세도 수그러들 조짐을 보이지 않고 있다. 올해 들어 반년째 2%대 물가 상승…3분기 2.6%↑ 6일 통계청이 발표한 소비자물가동향에 따르면 9월 소비자물가지수는 108.83(2015년=100)으로...
8,2021.10.07.,"국제유가, 美 원유재고 증가에 WTI 1.9%↓","국제금값, 전일 대비 0.1% 오른 온스당 1761.8달러에 마감 미국 원유 재고가 늘어나면서 국제유가가 하락했다. 6일(현지시간) 뉴욕상업거래소(NYMEX)에서 미국 서부 텍사스산 원유(WTI) 11월 인도분은 전장보다..."
9,2021.10.07.,고유가에 전기요금 인상까지…물가 상승률 9년 만에 2% 넘는다,"전 세계적인 원유 수요 증가로 인해 국제유가 급등세가 진정될 기미를 보이지 않고, 다음 달부터는 전기요금 인상분도 물가에 반영되기 때문이다. 국내 소비심리 회복에 따른 가격 상승 요인도 무시할 수 없다...."
10,2021.10.10.,"뉴욕증시 3대 지수 '고용지표 부진'에 다 내려, 국제유가는 올라",국제유가는 상승했다. 8일 뉴욕상업거래소에서 11월물 서부텍사스산 원유(WTI) 가격은 전날보다 1.34% 오른 배럴당 79.35달러에 거래를 마쳤다. 런던선물거래소에서 북해 브렌트유는 0.54% 상승한 배럴당 82.39달러에...
11,2021.10.03.,"[국제유가 3년래 최고②] 휘발윳값, 1700원 돌파 가능성 '주목'",국제 유가가 70달러 중반을 넘어가는 등 3년만에 최고치를 나타내고 있다. 이같은 강세에 국내 휘발유 가격도 리터당 1700원을 넘어설 지 주목된다. 3일 한국석유공사 유가정보서비스 오피넷에 따르면 지난 1일 기준...
12,2021.10.07.,석달 연속 줄어든 경상수지 흑자폭…국제유가 탓,국제유가 등 에너지 가격의 고공행진이 부담이 되고 있다. 7일 한국은행은 '2021년 8월 국제수지'에서 8월 경상수지는 75억 1천만 달러 흑자를 내면서 16개월 연속 흑자를 기록했다고 밝혔다. 먼저 상품수지를 보면...
