,날짜,제목,요약
0,2018.04.10.,"국제유가, 무역전쟁 우려 완화 속 급등…WTI 2.2%↑",국제유가는 9일(현지시간) 큰 폭으로 상승했다. 이날 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부 텍사스산 원유(WTI)는 전거래일보다 배럴당 1.36달러(2.2%) 상승한 63.42달러에 거래를 마쳤다. 런던 ICE 선물거래소의...
1,2018.04.10.,[국제유가] 미 달러 약세 영향 상승...'WTI 63.42달러',[뉴데일리-송승근 기자] 국제유가가 달러 약세 및 미국의 중국 압박 수위 조절 등의 영향으로 상승했다. 10일 한국석유공사에 따르면 9일(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된 서부텍사스산원유(WTI)는...
2,2018.04.10.,"국제유가, 달러 약세·주식 강세 속 상승",[뉴욕=뉴스핌 김민정 특파원]  국제유가가 9일(현지시간) 큰 폭으로 상승했다. 미 달러화가 약세를 보이고 주식을 비롯한 위험 자산이 강세를 보이면서 유가를 지지했다. <사진=블룸버그> 뉴욕상업거래소(NYMEX)에서...
3,2018.04.09.,"국제유가 안정세 지속되나… ""투자심리 안정 국면""",/사진=이미지투데이 국제유가의 투자가치가 높아지고 있다.  미국과 중국 간 무역분쟁 우려가 완화되며 투자심리가 안정을 찾아가고 있기 때문이다. 최근 미국과 중국 간의 관세 부과 조치가 발표되면서 위험자산...
4,2018.04.10.,9일 국제유가 상승,"70달러에 거래를 마쳤다.   한국석유공사는 9일 국제유가는 무역분쟁 관련 미국의 對중 압박 수위 조절, 시리아 사태에 따른 지정학적 리스크 확대, 미국 달러화 약세 등의 영향으로 상승했다고 전했다.  "
5,2018.04.10.,시진핑 연설 후 원엔환율 다시 1000원 아래로... 국제유가는 급등,국제유가는 중동지역 정세불안으로 급등했다. 미국달러 대비 원화환율은 10일 서울 외환시장에서 1달러당 1066.4 원에 마감됐다. 전날보다 0.7원(0.07%) 하락했다. 시진핑 주석은 이날 연설에서 외국인들의 자동차 업종...
6,2018.04.10.,미중 무역 마찰 완화·시리아 내전 재점화에 유가 급등,"[中과 협상 여지 남겨둔 트럼프 ""시진핑과 친구로 남을 것"" 공언…'시리아 내전' 둘러싼 강대국 세 대결 지속] 미중 무역 마찰 완화와 시리아 내전 격화로 9일(현지시간) 국제 유가가 대폭 상승했다. 이날 뉴욕상업거래소..."
7,2018.04.10.,"국제유가, 시리아 사태 따른 지정학적 리스크로 상승","[한국무역신문 = 김성욱 기자] 국제유가가 미국과 중국의 무역분쟁 완화 조짐, 시리아 사태에 따른 지정학적 리스크 확대 등의 영향으로 상승했다. 10일 한국석유공사에 따르면 9일(현지시간) 뉴욕상품거래소(NYMEX)..."
8,2018.04.06.,국제유가 소폭 상승...WTI 63.54弗,[서울경제] 국제유가는 5일(현지시간) 소폭 올랐다. 이날 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부텍사스산 원유(WTI)는 배럴당 0.17달러 오른 63.54달러에 거래를 마쳤다. 런던 ICE 선물거래소의 6월물 브렌트유는...
9,2018.04.10.,트럼프 리스크에 국제유가·금값·엔화 강세… '미일 무역갈등' 가능성 제기,"미중 무역전쟁 완화와 뉴욕증시 상승에도 불구하고 시리아 화학무기 사태로 미국과 러시아와의 갈등 우려가 커지면서 국제유가·금값·엔화는 강세를, 달러화는 약세를 보이고 있다. [서울와이어 이동화 기자]..."
10,2018.04.05.,"국제유가, 무역전쟁 우려에 약보합…WTI 0.2%↓",국제유가는 4일(현지시간) 소폭 내렸다. 이날 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부텍사스산 원유(WTI)는 전날보다 배럴당 0.2%(0.14달러) 떨어진 63.37달러에 거래를 마쳤다. 런던 ICE 선물거래소의 6월물...
11,2018.04.09.,유가 상승에…석화 ‘울상’ 정유 ‘방긋’,"국제유가 상승은 LG화학, 롯데케미칼, 한화케미칼 등 NCC(납사크래킹센터)를 지닌 업체에는 원재료 가격 상승으로 이어져 악재로 작용한다. ‘석유화학업계의 쌀’인 에틸렌이 NCC에서 분해된 납사로 만들어지며..."
12,2018.04.04.,"국제유가, 증시 반등에 하루 만에 상승",국제유가는 3일(현지시간) 하루 만에 올랐다. 이날 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부텍사스산 원유(WTI)는 전날보다 배럴당 0.50달러 오른 63.51달러에 거래를 마쳤다. 런던 ICE 선물거래소의 6월물...
13,2018.04.09.,[국제상품시황]글로벌 무역 전쟁 우려에 금 오르고 유가는 하락,"[서울경제] 글로벌 무역 전쟁에 대한 우려가 높아지면서 지난주 안전자산인 금 가격이 오르고 국제유가는 하락했다. 뉴욕상품거래소에서 금 6월물은 온스당 0.56%(7.55달러) 상승한 1,337.3달러에 마감했다. 도널드..."
