,날짜,제목,요약
0,2021.03.10.,유가상승에 에너지요금 들썩일까,"국제유가 상승으로 석유류 가격이 오름세를 타고 있고, 전기·도시가스 요금 등 에너지 가격도 상승압력을 받고 있다. ◇ 휘발윳값·'서민 연료' LPG도 오름세 10일 한국석유공사 등에 따르면 국내 휘발유 가격은..."
1,2021.03.10.,[원자재시황] 달러강세 등에 유가 1.6%↓ 금값 2.3%↑,국제 유가는 미국의 원유재고 증가 가능성과 달러 강세 등으로 하락했다. 9일(현지시간) 뉴욕상업거래소에서 4월물 서부 텍사스산 원유(WTI) 가격은 배럴당 1.04달러(1.6%) 하락한 64.01달러에 장을 마감했다. 원유시장...
2,2021.03.10.,韓경제 좌우할 핵심 변수 `국제유가`..연내 배럴당 80달러 가나,그러나 국제유가가 연내 배럴당 80달러까지 찍을 경우 상황은 달라질 수 있다. 특히 유가가 중동 분쟁 등 공급 측면의 원유 생산 감소로 인해 오를 경우 물가상승률은 높이고 성장률은 낮춰 물가 상승이 성장에 부담을...
3,2021.03.10.,[국제유가] 넉넉한 원유·달러 강세… WTI 1.6%↓,국제유가가 이틀 연속 하락했다. 9일(현지시각) 미국 서부텍사스원유(WTI) 4월 인도분 선물은 전장 대비 1.04달러(1.6%) 내린 배럴당 64.01달러를 기록했다. 전날 장중 2018년 10월 이후 최고까지 올랐다가 후퇴했다. 북해...
4,2021.03.10.,[고유가시대②] 하반기엔 배럴당 80달러 '복병'…기업·가계 직격탄,국제유가까지 급등하면서 한국 경제에 부담이 가중되고 있다는 진단이 나온다. 서민 물가가 줄줄이 오르며 가계 소비를 위축시키고 기업들에는 생산비용을 증가시켜 실적 악화의 원인이 된다. 9일 경제 전문가들에 따르면...
5,2021.03.10.,"해외 경쟁사들 문 닫고, 유가 뛰고… 국내 정유4사 빙그레",것)과 국제 유가가 유리하게 돌아가고 있기 때문이다. 게다가 지난해 글로벌 석유 업계에서 진행된 구조 조정도 우리 정유 업계 입장에서 긍정적 요소다. 해외 정제 시설 폐쇄로 글로벌 석유 제품 공급 여력이 줄어든...
6,2021.03.10.,"뉴욕증시, 미국 금리 하락에 기술주 급반등...국제유가, 하락",국제유가는 미국의 원유재고 증가 가능성과 달러화 강세 등으로 하락했다. 뉴욕상업거래소에서 4월물 서부 텍사스산 원유(WTI) 가격은 배럴당 1.04달러(1.6%) 하락한 64.01달러에 장을 마감했다. 연합뉴스에 따르면...
7,2021.03.10.,차익실현 매물 나오나…70달러 목전서 유가 또 하락,국제유가가 또 하락했다. 9일(현지시간) 뉴욕상업거래소에서 4월 인도분 서부텍사스산원유(WTI)는 전거래일 대비 배럴당 1.60% 내린 64.01달러에 거래를 마쳤다. 장중 63.63~65.98달러에서 움직였다. 런던...
8,2021.03.09.,유가 급등에 정제마진 회복세…정유업계 실적 개선 기대감 UP,"국제유가가 오르면 저유가일 때 사들였던 원유 비축분의 가치가 상승하며 정유사들이 재고평가이익을 볼 수 있다. 코로나19 회복으로 석유 제품 수요가 커지는데, 자연재해로 정유공장 가동에 차질이 빚어지며 공급..."
9,2021.03.09.,"[인더머니] 국제유가, 중동 지정학적 불안에도 단기 급등 부담에 1.6% 하락",국제 유가가 중동지역 지정학적 긴장에도 단기 급등에 따른 레벨 부담 등으로 하락했다. 8일(현지시간) 뉴욕상업거래소에서 4월물 서부 텍사스산 원유(WTI) 가격은 배럴당 1.04달러(1.6%) 하락한 65.05달러에 장을 마감했다....
10,2021.03.09.,"브렌트 유가, 67.6달러까지 빠진후 69달러 선 진입",국제 유가가 9일(화) 오름세로 반전했다. 로이터 통신에 따르면 브렌트 원유가는 GMT 10시15분(한국시간 19시15분) 전날 종가보다 1.1%가 올라 배럴당 69.02달러에 거래됐다. 이날 앞서 이 유가는 전날의 내림세가 이어져...
11,2021.03.10.,[국제유가] 美 원유생산 전망치 상향 조정에 9일 유가 하락,"중동산 Dubai유 등 국제유가의 일일 변동 현황 9일 국제유가는 최근 급등에 따른 매도 증가, 미국 원유생산 전망치 상향조정, 원유재고 증가 예상 등으로 하락했다. 한국석유공사(사장 양수영)는 서부 텍사스산..."
12,2021.03.10.,"뉴욕증시, 미국 금리 하락에 기술주 급반등...국제유가, 하락",국제유가는 미국의 원유재고 증가 가능성과 달러화 강세 등으로 하락했다. 뉴욕상업거래소에서 4월물 서부 텍사스산 원유(WTI) 가격은 배럴당 1.04달러(1.6%) 하락한 64.01달러에 장을 마감했다. 연합뉴스에 따르면...
13,2021.03.09.,"[인더머니] 국제유가, 중동 지정학적 불안에도 단기 급등 부담에 1.6% 하락",국제 유가가 중동지역 지정학적 긴장에도 단기 급등에 따른 레벨 부담 등으로 하락했다. 8일(현지시간) 뉴욕상업거래소에서 4월물 서부 텍사스산 원유(WTI) 가격은 배럴당 1.04달러(1.6%) 하락한 65.05달러에 장을 마감했다....
14,2021.03.09.,유가 상승에 정유株·원유ETF도 뜨나,국제유가가 고공행진하며 천연자원·원자재 펀드도 높은 수익률을 기록하고 있다. 8일(현지시간) 런던국제선물거래소에서 브렌트유가 장중 배럴당 71.38달러에 거래됐다. 브렌트유 가격이 70달러를 돌파한 것은...
15,2021.03.09.,유가 ‘뜀박질’…배럴당 70달러 초읽기,주요 원자재 가격이 일제히 상승하고 있는 가운데 특히 국제유가의 상승세가 가파르다. 지난달 초 배럴당 60달러를 돌파하기 시작한 주요 유종의 국제 시세는 한 달여 만에 70달러선에 이르렀다. ‘기름값’만 놓고...
16,2021.03.05.,"국제유가, 22개월 만에 최대폭 급등",국제 유가가 주요 산유국들의 소폭 증산 합의에 힘입어 2년 만에 최대폭으로 급등했습니다. 현지시간으로 4일 뉴욕상업거래소에서 4월 인도분 서부 텍사스산 원유는 전날보다 배럴당 4.2% 오른 63.83달러에 거래를...
17,2021.03.08.,사우디 석유시설 피습…치솟는 유가에 '기름 붓다',국제 유가가 상승한 것은 세계 최대 석유운송기지인 사우디아라비아의 걸프만 라스타누라 항구 내 저장고가 예멘 후티반군에 공격당했기 때문이다. 예멘 반군은 7일(현지시간) 드론과 탄도미사일로 라스타누라...
18,2021.03.08.,"국제유가 급등, 아시아 주요 증시 일제 하락","미국 상원이 1조9000억 달러의 경기부양안을 통과시켰다는 소식에 상승 출발했던 아시아 주요증시는 국제 유가가 급등하고 있다는 소식에 일제히 하락 반전했다. 8일 오후 2시30분 현재 한국의 코스피는 0.85%, 일본의..."
19,2021.03.10.,"""더 오른다"" 치솟는 국제유가… 관련주 담아도 될까",최근 국제유가가 상승세를 이어가고 있는 가운데 정유와 조선 사업이 주목 받고 있다. 사진=서울와이어 DB 국제유가가 올초 예상치를 훌쩍 넘어섰다. 신종 코로나바이러스 감염증(코로나19) 백신의 등장으로 원유 수요가...
20,2021.03.08.,리스크 프리미엄까지 붙은 유가 “연말 80弗 갈 것”,세계적 수요 회복과 주요 산유국의 생산량 동결로 고공 행진 중인 국제 유가가 이번에는 드론 공격 이슈로 추가 상승했다. 브렌트유의 경우 1년 10개월 만에 배럴당 70달러를 넘어섰다. 경기 회복세에 중동 정세...
21,2021.03.09.,[고유가시대①] 전기료 인상 불가피…한전 '방긋' 국민 '울상’,신종 코로나 바이러스 감염증(코로나19) 사태로 지난해 20달러대선까지 붕괴됐던 국제유가가 최근 60달러 중후반대까지 급등했다. 석유수출국기구 및 주요 산유국(OPEC+) 등이 감산 기조를 유지하면서 촉발됐다....
22,2021.03.09.,수요 늘고 생산·재고 줄어…“국제유가 100달러 시대 오나” [장가희 기자의...,"국제유가가 상승 추세를 이어가고 있습니다. 어제(8일) 북해산 브렌트유 가격이 22개월 만에 배럴당 70달러 선을 돌파했는데요. 어디까지 오를지, 또 우리 물가에는 얼마나 영향을 미칠지 장가희 기자와..."
23,2021.03.09.,[국제유가] 중동 '지정학적 불안'에도 하락 반전… WTI 1.6%↓,국제유가가 하락 마감했다. 8일(현지시각) 미국 서부텍사스워유(WTI) 4월 인도분 선물은 전장 대비 1.04달러(1.6%) 내려 배럴당 65.05달러를 기록했다. 북해 브렌트유 5월물은 1.12달러(1.61%) 하락한 배럴당 68.24달러를...
24,2021.03.10.,"[국제유가] 숨 고르는 유가… WTI, 연이틀 하락","뉴데일리 성재용 기자 = 국제유가가 연이틀 하락했다. 9일(현지시각) 뉴욕상업거래소(NYMEX)에서 미국 서부텍사스산 원유(WTI)는 전거래일에 비해 배럴당 1.04달러 하락(-1.59%)한 64.01달러에, 중동산 두바이유는 1.92달러..."
25,2021.03.05.,"국제유가, 2년來 최대 수준 '폭등'…WTI 4.2%↑ '64달러 육박'",국제 유가가 주요 산유국들의 소폭 증산 합의 소식에 2년 만에 최대폭으로 급등했다. 4일(현지시간) 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 4.2%(2.55달러) 치솟은 63....
