,날짜,제목,요약
0,2020.02.08.,"국제유가, 5주 연속 하락…WTI 1.2%↓",이귀원 특파원 = 국제유가는 7일(현지시간) 신종 코로나바이러스 감염증(신종코로나)에 대한 우려가 지속된 가운데 하락했다. 이날 뉴욕상업거래소(NYMEX)에서 3월 인도분 서부 텍사스산 원유(WTI)는 전날보다...
1,2020.02.10.,"“유가 여전히 하방 리스크, OPEC+ 추가 감산 여부 관건”",대신증권은 최근 급락했다가 소폭 반등한 국제유가에 대해 여전히 하방 리스크가 남아 있다고 판단했다. 김소현 대신증권 연구원은 10일 보고서에서 “국제유가가 추세적으로 상승할 것이라고 예상하기에는...
2,2020.02.08.,전국 주유소 기름값 2주째 하락…국제유가 약세 반영,휘발유 소비가 많은 서울에 국제유가 하락폭이 선반영되면서 이 같이 가격이 형성된 것으로 풀이된다. 이밖에 전국 주유소 경유 가격은 L당 1391.2원으로 7.4원 하락했다. 3주 연속 내림세를 보였다. 한국이...
3,2020.02.07.,"국제 유가, 신종코로나 우려 속 혼조...WTI 0.4%↑",국제 유가가 신종 코로나바이러스 감염증에 대한 우려가 이어지면서 혼조세를 보였습니다. 현지 시간 6일 뉴욕상업거래소에서 3월 인도분 서부 텍사스산 원유는 전날보다 1배럴에 0.4% 오른 50.95달러에 거래를...
4,2020.02.06.,"국제유가, 신종코로나 치료제 기대 속 반등",국제유가가 6거래일 만에 반등했습니다. 뉴욕상업거래소에서 (현지시간으로 5일) 3월 인도분 서부 텍사스산 원유는 전날보다 배럴당 2.3% 상승한 50.75달러에 거래를 마치면서 50달러 선을 되찾았습니다. 전날 서부...
5,2020.02.10.,"중국發 코로나, 천연가스·유가 하락 촉매제…""하락세 지속""",전문가들은 이러한 현상으로 인해 천연가스 가격과 국제유가가 더 하락할 것으로 내다봤다. 10일 블룸버그에 따르면 지난 7일(현지시간) NYMEX(뉴욕상업거래소) 천연가스 선물가격은 MMBtu(백만Btu·25만㎉ 열량을 내는...
6,2020.02.09.,"코스피와 국제 유가, 동반 하락의 이유",올해 들어 국제 유가가 급락하는 가운데 우리 주가도 같이 떨어졌다. 둘 다 글로벌 경제 상황을 반영하고 있다. 부채에 의한 성장으로 글로벌 경제가 체력이 떨어진 상황에서 신종 코로나바이러스는 수요와 공급...
7,2020.02.09.,국제유가 하락속 전국 주유소 기름값 2주째 하락,최근 신종 코로나바이러스 사태 영향으로 국제유가가 큰 폭으로 하락했기 때문에 국내 기름값도 당분간 추가 하락할 전망이다. 9일 한국석유공사 유가정보서비스 오피넷에 따르면 2월 첫째 주 전국 주유소 주간...
8,2020.02.08.,"산유국 추가 감산하나...국제유가, 5주 연속 하락세",뉴욕 유가는 신종 코로나바이러스에 대응한 산유국의 추가 감산 여부를 주시하는 가운데 하락했다. 7일... 점도 유가에 하락 압력을 가했다. 채굴 장비 수의 증가는 미국 내 산유량 증가 우려를 키우는 요인이다. 미국의...
9,2020.02.08.,[이번주 유가 동향]국내 휘발윳값 2주째 하락…1563.3원,이번주 국제유가는 3주째 하락했다. 우리나라로 수입되는 원유 기준인 두바이유는 전주보다 배럴당 4.1달러 내린 54.5달러를 기록했다. 국제 유가 등락은 통상 2주 후 국내 주유소 가격에 반영된다. 석유공사는...
10,2020.02.10.,"국제유가, 코로나 바이러스 영향 5주 연속 ↓","지난 7일 유가(WTI)와 브렌트유는 각각 1.23%, 0.84% 하락하며, 50.32, 54.47달러를 기록했다. 특히, 원유(WTI)는 이번주 2.4% 하락하며 5주 연속으로 하락세를 보이고 있다. 그 이유는 신종 코로나 확산으로 글로벌 경제와..."
11,2020.02.05.,"국제유가, 신종코로나發 내림세…WTI, 50달러선 붕괴",이준서 특파원 = 전세계적으로 '신종코로나 우려'가 확산하면서 국제유가의 내림세가 이어지고 있다. 신종 코로나바이러스의 진원지인 중국의 원유 소비가 감소할 것이라는 전망이 국제유가에 지속해서 하락...
12,2020.02.10.,국제유가 5주 연속 ‘뚝’…하락 베팅 ETN 한 달 만에 수익률 ‘50%’,급등하면서 국제유가가 저평가 상태에 진입했다”고 분석했다. 김소현 대신증권 연구원은 “10개 주요 산유국의 연합체(OPEC+)의 추가 감산이 결정된다고 하더라도 초과공급 국면 해소는 어려워 보인다”고 짚었다....
13,2020.02.08.,"산유국 추가 감산하나...국제유가, 5주 연속 하락세",뉴욕 유가는 신종 코로나바이러스에 대응한 산유국의 추가 감산 여부를 주시하는 가운데 하락했다. 7일... 점도 유가에 하락 압력을 가했다. 채굴 장비 수의 증가는 미국 내 산유량 증가 우려를 키우는 요인이다. 미국의...
14,2020.02.04.,"뉴욕증시, 美 제조업 지표 호조에 상승...국제유가 급락",국제유가가 '신종코로나 우려' 속에 하락세를 이어갔다. 신종 코로나바이러스의 진원지인 중국의 원유 소비가 줄면서 국제유가에 지속해서 하락 압력을 가하는 형국이다. 3일(현지시간) 뉴욕상업거래소(NYMEX)에서...
15,2020.02.04.,"‘신종 코로나’ 확산 여파에…국제유가, 13개월 만에 최저치 하락",세계의 공장이자 세계 최대 원유 수입국인 중국이 신종 코로나바이러스 감염증(신종 코로나)으로 경제 둔화가 우려되면서 국제유가가 13개월 만에 최저 수준을 나타냈다. 3일(현지 시간) 미국 뉴욕상품거래소(NYMEX)...
16,2020.02.05.,WTI 50달러 붕괴... ‘코로나 쇼크’에 국제유가 직격탄,"‘우한폐렴 쇼크’에 국제유가 급락…WTI 50달러 붕괴 中 석유 수요 감소 우려에 ‘OPEC 감산’ 효과 없어 BP ""올해 중국 석유 수요 하루 평균 100만배럴 줄어들 것"" ‘신종 코로나 바이러스(우한 폐렴)’ 확산 우려에..."
17,2020.02.05.,‘코로나 충격’ 중국 수요 감소로…국제유가 50달러선 붕괴,신종 코로나바이러스 감염증(신종 코로나) 확산 여파로 국제 유가가 급락해 13개월 만에 배럴당 50달러 선이 무너졌다. 세계 최대 원유 수입국인 중국의 생산 활동이 사실상 멈추면서 원유 수요가 급감한 데 따른 것이다....
18,2020.02.10.,[국제유가] 신종 코로나에 추가 감산 불확실성까지…,"7일 국제유가는 OPEC+ 추가 감산 불확실성, 미 원유 시추기 수 증가, 미 달러화 강세 등으로 하락했고 중국의 경기부양책 기대 등은 하락폭을 제한했다. 한국석유공사 국제유가 동향에 따르면 브렌트유는 전일대비..."
19,2020.02.09.,"뉴욕증시 3대 지수 '신종 코로나 우려'에 모두 하락, 국제유가도 약세",국제유가 역시 약세를 보였다. 7일 뉴욕상업거래소(NYMEX)에서 3월 인도분 서부텍사스산 원유(WTI)는 전날보다 배럴당 1.23%(063달러) 떨어진 50.32달러에 거래를 마쳤다. 7일 뉴욕증권거래소(NYSE)에서...
20,2020.02.08.,"[원유마감]유가 하락…러 ""감산 전 상황 판단할 시간 필요""",국제유가가 7일(현지시간) 하락 마감했다. 로이터통신에 따르면 이날 뉴욕상업거래소(NYMEX)에서 서부텍사스산원유(WTI) 선물은 전 거래일보다 배럴당 0.63달러(1.24%) 내린 50.32달러에 거래를 마쳤다. 국제유가...
21,2020.02.04.,국제유가 13개월來 최저…전염병發 '살얼음판' 금융시장,국제유가가 1년여 만에 최저치로 미끄러진 것이 투자심리 악화를 방증한다는 평가다. 주요국 증시도 전염병 불확실성에 관망 장세를 이어가고 있다. 4일 마켓포인트 등에 따르면 간밤 뉴욕상업거래소(NYMEX)에서 3월...
22,2020.02.04.,국제유가 '신종코로나 우려' 3% 안팎 급락…장중 40달러대,'OPEC 추가감산 검토' 보도에도 투자심리 위축 이준서 특파원 = 국제유가가 '신종코로나 우려' 속에 하락세를 이어갔다. 신종 코로나바이러스의 진원지인 중국의 원유 소비가 줄면서 국제유가에 지속해서 하락...
