,날짜,제목,요약
0,2019.03.09.,"국제유가, 美고용악화 속 약세…WTI 1.0%↓",이준서 특파원 = 국제유가는 8일(현지시간) 1% 안팎 하락했다. 이날 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 배럴당 0.59달러(1.0%) 하락한 56.07달러에 거래를 마쳤다. 이번주 주간으로는 0.5...
1,2019.03.10.,유가하락에 떠는 원유 DLS 투자자,지난해 10월을 기점으로 국제유가가 하락하면서 관련 DLS 투자자들의 불안감도 커지고 있다. 10일 금융투자업계에 따르면 서부텍사스산원유(WTI)를 기초로 삼은 DLS의 미상환 잔액은 올해 2월 말 기준 7364억원에...
2,2019.03.09.,유가 3주째 상승…기름값 공포 시작되나,국제유가의 급락과 정부의 유류세 인하 조치로 수혜를 누렸던 소비자들이 다시 기름값 상승 공포감에 휩쌓일 것으로 우려된다. 9일 한국석유공사 유가정보서비스 오피넷에 따르면 3월 첫째 주 전국 주유소의 보통...
3,2019.03.08.,"[국제유가] WTI, 베네수엘라 공급 차질우려에 상승",국제유가가 베네수엘라 공급 차질 우려가 부각되며 상승했다. 7일(현지시간) 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전 거래일 대비 배럴당 0.44달러(0.8%) 오른 56.66달러에 거래를 마쳤다....
4,2019.03.09.,"국제유가, 세계 성장 둔화 우려 부각되며 하락","김민정 특파원 = 국제유가가 8일(현지시간) 상승했다. 중국과 유로존(유로화 사용 19개국), 미국의 성장 둔화 우려가 다시 부각되면서 유가는 하락 흐름을 보였다. 원유 채굴장비[사진=로이터 뉴스핌] 뉴욕상업거래소..."
5,2019.03.05.,2월 소비자물가 전년비 0.5%↑…유가·채솟값 안정세,국제유가 안정과 유류세 인하 효과 덕에 전체 소비자물가 상승폭이 2년6개월만에 최저를 기록했다. 지난해 2월 한반도를 덥친 한파에 치솟았던 채소류 가격이 올해는 안정세를 보인 것도 전체 물가를 낮추는데...
6,2019.03.05.,유가ㆍ채솟값 하락에 2월 물가 0.5%↑ 30개월 만에 최저,통계청 ‘2월 소비자 물가동향’ 발표 국제유가 하락으로 국내 석유류 가격이 크게 떨어지고 채소값도 줄줄이 하락하며 지난달 소비자 물가 상승률이 2년 6개월 만에 가장 낮은 수준을 기록했다. 통계청이 3일...
7,2019.03.07.,"국제 유가, 美 원유재고 증가에 혼조 마감...WTI 0.6%↓ 브렌트 0.2%↑","국제 유가는 6일(현지시간) 미국 원유 재고량 증가 여파로 혼조세를 보이며 마감했다. 뉴욕상업거래소(NYMEX)에서 이날 서부 텍사스산 원유(WTI) 4월 인도분은 전일대비 0.34달러, 0.6% 하락한 배럴당 56.22달러로..."
8,2019.03.08.,[국제유가] 베네수엘라 수송 차질 영향 상승… 'WTI 56.66달러',국제유가가 베네수엘라 국영 PDVSA사의 원유 수송 차질 영향으로 상승했다. 8일 한국석유공사에 따르면 7일(현지 시간) 뉴욕상업거래소(NYMEX)에서 거래된 서부텍사스산원유(WTI)는 배럴당 56.66달러로 전날보다 0....
9,2019.03.08.,"유가 반등, 유류세 인하 종료…올해 국내 기름값 폭등설 솔솔","[이데일리 남궁민관 기자] 국제유가가 지난해 말 저점을 찍고 최근 빠르게 오르고 있는 가운데, 국내 기름 가격 역시 뚜렷한 반등 기미를 보이고 있다. 이 같은 흐름에 더해 오는 5월 정부의 유류세 인하 조치가..."
10,2019.03.05.,유가하락 영향 2월 물가 0.5% 상승… 2년 6개월만에 최저(종합),국제유가가 하락하면서 공업제품이 안정세를 보이고 채소가격도 전년 대비 하락했기 때문이다. 외식 등 개인 서비스 등의 경우 최저임금 인상 여파로 가격 상승률이 상대적으로 높았다. 한국은행의 통화정책...
11,2019.03.06.,"국제유가, 보합권서 '혼조'…WTI↓·브렌트유↑",국제유가가 5일(현지시간) 보합권에 머물렀다. 내일(6일) 발표되는 미국의 원유재고 지표를 주목하는 분위기다. 이날 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전 거래일보다 배럴당 0.03달러...
12,2019.03.09.,"[GAM] 국제유가·금속, 상승 여건있으나 뒷심 부족",◆ 유가 약세 기조…상승세 지속 여부 불투명 2월 국제유가는 투자심리 개선으로 2개월 연속 상승했다. 미 서부텍사스산원유(WTI) 가격은 전월말 대비 6.4% 상승했다. 사우디아라비아의 적극적 감산 의지 표명과 미·중...
13,2019.03.08.,"유가 반등, 유류세 인하 종료…올해 국내 기름값 폭등설 솔솔","[이데일리 남궁민관 기자] 국제유가가 지난해 말 저점을 찍고 최근 빠르게 오르고 있는 가운데, 국내 기름 가격 역시 뚜렷한 반등 기미를 보이고 있다. 이 같은 흐름에 더해 오는 5월 정부의 유류세 인하 조치가..."
14,2019.03.09.,"국제유가 하락, 서부텍사스산 원유 배럴당 56.07달러",미국 고용부진 소식에 국제유가가 1% 가량 하락 마감됐다. 연합뉴스에 따르면 뉴욕상업거래소(NYMEX)에서 8일(현지시간) 거래된 4월 인도분 서부텍사스산 원유(WTI)는 전일 보다 배럴당 0.59달러(1.0%) 내려선 56....
15,2019.03.05.,"국제유가, 미중 협상타결 전망 속 강세…WTI 1.4%↑",이준서 특파원 = 국제유가는 4일(현지시간) 상승했다. 이날 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전 거래일보다 배럴당 0.79달러(1.4%) 오른 56.59달러에 거래를 마쳤다. 런던 ICE...
16,2019.03.08.,"국제유가, 베네수엘라 석유 수출 차질에 반등","['美 제재' 베네수엘라 국영석유회사, 요금 미납으로 유조선 해외 억류 ] 국제유가가 사흘만에 반등했다. 정권 교체 문제로 미국의 제재를 받고 있는 베네수엘라가 석유 수출에 차질을 빚고 있다는 소식이 주효했다...."
17,2019.03.08.,[국제유가] 베네수엘라 수송 차질 영향 상승… 'WTI 56.66달러',국제유가가 베네수엘라 국영 PDVSA사의 원유 수송 차질 영향으로 상승했다. 8일 한국석유공사에 따르면 7일(현지 시간) 뉴욕상업거래소(NYMEX)에서 거래된 서부텍사스산원유(WTI)는 배럴당 56.66달러로 전날보다 0....
18,2019.03.08.,[국제유가] WTI 0.8% 상승...베네수엘라 원유 수출 차질 우려,뉴욕 유가는 베네수엘라의 원유 수출 차질 우려 등으로 상승했다. 7일 뉴욕상업거래소에서 4월물 서부... PDVSA가 해상 비상사태(maritime emergency)를 선포했다는 소식이 전해지면서 유가가 상승 압력을 받았다. PDVSA...
19,2019.03.05.,"2월 소비자물가 상승률 2년 6개월만에 최저…""유가·채솟값 하락 반영""",국제유가 하락세가 이어진 가운데 농축산물 가격이 떨어진 영향으로 풀이된다. 통계청이 5일 발표한 '2019년 2월 소비자물가동향'에 따르면 지난달 소비자물가지수는 104.69(2015년=100)로 전년 동월 대비 0.5...
20,2019.03.09.,"유가 하락, WTI 56.07달러…美 2월 고용지표 악화",국제유가가 소폭 하락했다. 9일 한국석유공사에 따르면 8일(현지시간) 뉴욕상업거래소(NYMEX)의 WTI(서부텍사스산원유)는 전일대비 배럴당 0.59달러 하락한 56.07달러로 장을 마감했다. 런던거래소(ICE)의 브렌트...
21,2019.03.08.,"뉴욕증시,ECB 직격탄 다우지수 0.78%↓…국제유가 WTI 0.8%↑",국제유가는 주요 산유국인 베네수엘라의 정정 불안으로 상승했다. 이날 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 0.44달러(0.8%) 오른 56.66달러에 거래를 마쳤다. 이날...
22,2019.03.09.,[국제유가] 美고용지표 부진에 투자심리 위축...WTI 1.2%↓,이영노 기자 ynlee@ajunews.com 8일(현지시간) 국제유가가 하락했다. 이날 발표된 미국 고용지표가 예상 외로 부진하게 나오면서 시장은 충격을 받은 모습이다. 이날 뉴욕상업거래소(NYMEX) 4월 인도분...
23,2019.03.06.,[국제유가] 中 성장률 목표 하향 WTI 0.1% 하락,뉴욕 유가는 중국의 올해 성장률 목표치 하향 조정과 리비아 최대 유전의 생산재개 소식 등으로 소폭... 제기되면서유가 상승 기대가 유지됐다. 이날은 중국이 성장률 전망치를 낮춘 점이 유가에 부정적으로 작용했다....
24,2019.03.07.,[국제유가] 美 원유재고 증가 부담에 WTI 0.6% 하락,뉴욕 유가는 미국 원유재고가 예상보다 큰 폭 증가한 데 따라 하락했다. 6일 뉴욕상업거래소에서 4월물... 미국 재고가 예상보다 큰 폭 늘어난 점이 유가 하락을 촉발했다. 미국석유협회(API)는 전일 장 마감 이후 지난주...
25,2019.03.05.,"국제유가, 'OPEC 감산 연장' 소식에 반등","[OPEC, 6월 감산 합의 연장 추진…미중 정상 무역분쟁 합의 기대] 국제유가가 반등했다. 사우디아라비아 주도의 OPEC(석유수출국기구)이 감산을 연장할 것이란 보도가 기름값을 밀어올렸다. 미중 양국이 오는 27일쯤..."
26,2019.03.02.,"국제유가, 美지표 부진에 급락…WTI 2.5%↓",이귀원 특파원 = 국제유가는 1일(현지시간) 나흘 만에 하락세로 돌아섰다. 이날 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 2.5%(1.42달러) 하락한 55.80달러에 장을 마쳤다....
27,2019.03.08.,"국제유가, 달러 강세·성장 둔화 우려에도 상승",김민정 특파원 = 국제유가가 7일(현지시간) 상승했다. 석유수출국기구(OPEC)와 러시아 등 주요 산유국의 감산 정책이 이날 유가를 지지했다. 다만 유가 상승은 유로존(유로화 사용 19개국)의 경제 성장 둔화 우려와 달러...
28,2019.02.27.,"국제유가 반등…OPEC ""트럼프 무시하고 계속 감산""","[트럼프 ""유가 너무 오른다…OPEC 진정하라"" 경고에 OPEC 무시 전략] 국제유가가 26일(현지시간) 반등했다. 전날 OPEC(석유수출국기구)의 감산을 비판한 도널드 트럼프 미국 대통령의 트윗에도 불구하고 OPEC이 감산을..."
29,2019.03.05.,[국제유가] OPEC+ 감산 지속 기대에 WTI 1.4% 상승,뉴욕 유가는 석유수출국기구(OPEC)와 주요 산유국의 감산이 이어질 것이란 기대로 상승했다. 4일... 미·중 무역협상이 조만간 타결될 것이란 전망이 점차 강화되는 점도 유가에 긍정적으로 작용했다. 월스트리트저널은...
30,2019.02.28.,"국제유가, 美원유재고 감소에 급등…WTI 2.6%↑",이귀원 특파원 = 국제유가는 27일(현지시간) 큰 폭의 상승을 기록했다. 이날 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 2.6%(1.44달러) 오른 56.94달러에 장을 마쳤다. 런던 ICE...
31,2019.03.07.,[국제유가] 美 재고 증가 영향 하락… 'WTI 56.22달러',국제유가가 예상치를 상회한 미국의 원유 재고 증가 영향으로 하락했다. 7일 한국석유공사에 따르면 6일(현지 시간) 뉴욕상업거래소(NYMEX)에서 거래된 서부텍사스산원유(WTI)는 배럴당 56.22달러로 전날보다 0....
32,2019.03.06.,"[국제유가] WTI, 보합권 혼조세… 리비아 생산 재개 부각",국제유가가 보합권 내 혼조세를 나타냈다. 5일(현지시간) 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전 거래일 대비 배럴당 0.03달러(-0.1%) 하락한 56.56달러에 거래를 마쳤다. 국제유가는 중국의...
33,2019.02.22.,유가 반등 영향 '아직'…생산자물가 4개월째 하락,인건비 등 상승에 건축물 청소·음식점 물가 상승 국제유가가 반등했음에도 생산자물가가 4개월 연속 내렸다. 원유 도입 시차 때문에 작년 말 유가 하락 여파가 이어진 것으로 분석된다. 한국은행이 22일 발표한...
34,2019.03.08.,[국제유가]원유 수급 불안에 상승세,주요 산유국인 베네수엘라의 정정 불안으로 인한 원유 수급 불안이 퍼지면서 유가에 상승 압력을 가했다. 특히 베네수엘라의 국영 석유회사 'PDVSA'가 비상사태를 선포했다는 소식이 유가를 지지했다. 이날...
35,2019.03.06.,[국제유가] '감산추진 Vs 재고증가' 영향 보합… 'WTI 56.56달러',국제유가가 OPEC 및 주요 산유국들의 감산 추진과 미국 원유재고 증가 전망 영향 등으로 보합세를 나타냈다. 6일 한국석유공사에 따르면 5일(현지 시간) 뉴욕상업거래소(NYMEX)에서 거래된 서부텍사스산원유(WTI)는...
36,2019.02.27.,국제유가 소폭 반등…WTI 0.05%↑,이준서 특파원 = 국제유가는 26일(현지시간) 강보합세를 보였다. 이날 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 0.02달러(0.05%) 상승한 55.50달러에 거래를 마쳤다. 런던 ICE...
