,날짜,제목,요약
0,3일 전,"심상찮은 국제유가…""서방의 러시아 제재가 변수""","기사내용 요약산업부, '에너지·자원 수급 TF' 개최 국제유가 동향·석유수급 계획 점검 업계 ""국내 석유 수급은 차질 없어"" [세종=뉴시스] 고은결 기자 = 최근 국제유가 동향과 관련해 러시아에 대한 서방의 제재 여부가..."
1,2일 전,"""러시아 우크라이나 침공시 유가 배럴당 120달러 도달 전망""",러시아가 우크라이나를 침공하면 국제유가가 배럴당 120달러에 도달할 것이라는 전망이 시장에서 나온다고 CNBC 방송이 보도했습니다. 보도에 따르면 유명 금융시장 전략가인 데이비드 로시는 러시아의 다음 행보를...
2,3일 전,"정부, 고유가에 유류세 인하기간 연장 등 검토…석유수급계획 점검","박기영 산업부 제2차관은 회의에서 ""국제유가 상승세가 지속될 경우 4월까지 시행 예정인 유류세 인하 기간의 연장 등 국민 경제 부담 완화 방안에 대해 기획재정부 등 관계부처와 지속적으로 협의해나가겠다""고 말했다...."
3,2일 전,"[국제유가] 美 원유재고 감소에 상승… WTI, 0.34%↑",국제유가는 미국 원유재고가 감소했다는 소식에 상승세다. 9일(현지시각) 뉴욕상업거래소에서 3월물 서부텍사스산원유(WTI) 가격은 전거래일 대비 0.30달러(0.34%) 오른 배럴당 89.66달러에 거래를 마쳤다. 유가는...
4,2일 전,[유가] 美 주간 원유 재고 감소에 상승,김나래 특파원 = 국제유가가 9일(현지시간) 상승했다. 원유 [사진=로이터 뉴스핌] 뉴욕상업거래소(NYMEX)에서 3월물 서부텍사스산원유(WTI) 가격은 전장보다 0.30달러(0.3%) 하락한 배럴당 89.66달러에 거래를 마쳤다....
5,2일 전,"치솟는 유가에…美 민주당, 휘발유 연방세 일시 유예안 발의",국제 유가가 7년 만에 최고치로 치솟으며 인플레이션 압력이 커지자 소비자 부담을 완화하겠다는 취지다. 미 중간선거가 다가오고 있는 만큼 의원들의 폭넓은 지지를 받을 수 있을 것이란 관측도 나오고 있다. 9일...
6,2일 전,"석유공룡들, 高유가 덕에 ‘앉아서 돈 잔치’...횡재稅 논의 재부상",국제유가가 배럴당 90달러 선을 웃도는 가운데 대형 석유 기업들이 잇따라 시장 전망치를 웃도는 기록적 실적을 내놓고 있다. 코로나19 사태 이후 회복 과정에서 수요가 급격히 회복하고 글로벌 기후 변화 대응 이슈의...
7,2일 전,4월 종료 앞둔 유류세 인하… 고유가 지속에 ‘연장’할 듯,러시아와 우크라이나 간 무력 충돌 우려 등으로 국제유가가 급등한 데 따른 물가 상승 요인을 차단하고 국민 부담을 덜어 주기 위해서다. 최근 국내 제조업이 살아나고 고용 시장도 코로나19 이전 수준으로 회복하고...
8,2일 전,"국제유가, 이틀째 배럴당 90달러 이하로 마감",기사내용 요약美 원유 재고 감소 발표에 올랐다가 이란 핵합의 재개 낙관론에 다시 하락 국제유가가 이틀째 배럴당 90달러 이하로 마감했다. 9일(현지시간) 뉴욕선물거래소(NYMEX)에서 3월 인도분 미국 서부 텍사스산...
9,4일 전,“국제유가 배럴당 100달러되면 한국 경제성장률 0.3%p↓”,사상 세 번째 ‘국제유가 배럴당 100달러 시대’가 온다면 우리나라의 올해 경제성장률이 0.3%포인트(p) 하락할 것이라는 분석이 나왔습니다. 현대경제연구원은 오늘(8일) ‘경제협력개발기구(OECD) 1위의 경제...
10,2일 전,4월 종료 앞둔 유류세 인하… 고유가 지속에 ‘연장’할 듯,러시아와 우크라이나 간 무력 충돌 우려 등으로 국제유가가 급등한 데 따른 물가 상승 요인을 차단하고 국민 부담을 덜어 주기 위해서다. 최근 국내 제조업이 살아나고 고용 시장도 코로나19 이전 수준으로 회복하고...
11,2일 전,"[국제유가] 美 원유재고 감소에 상승… WTI, 0.34%↑",국제유가는 미국 원유재고가 감소했다는 소식에 상승세다. 9일(현지시각) 뉴욕상업거래소에서 3월물 서부텍사스산원유(WTI) 가격은 전거래일 대비 0.30달러(0.34%) 오른 배럴당 89.66달러에 거래를 마쳤다. 유가는...
12,2일 전,[국제유가] 美 재고감소·달러화 약세에 '상승'… WTI 0.33%↑,뉴데일리 이연춘 기자 = 국제유가가 미국 원유재고가 감소했다는 소식에 하루만에 상승세로 돌아섰다. 9일 현지시간 뉴욕상업거래소(NYMEX)에서 서부텍사스산원유(WTI) 가격은 전장보다 0.30달러(0.33%) 상승한...
13,2일 전,[유가] 美 주간 원유 재고 감소에 상승,김나래 특파원 = 국제유가가 9일(현지시간) 상승했다. 원유 [사진=로이터 뉴스핌] 뉴욕상업거래소(NYMEX)에서 3월물 서부텍사스산원유(WTI) 가격은 전장보다 0.30달러(0.3%) 하락한 배럴당 89.66달러에 거래를 마쳤다....
14,3일 전,[특징주] 국제유가 하락에 한국석유 등 에너지주 약세,국제 유가가 내리면서 9일 국내 주식시장에서 정유와 석유 등 에너지 관련주가 약세를 보이고 있다. 이날 오전 9시 21분 현재 유가증권시장에서 석유류 판매업체인 한국석유는 전날보다 7.30% 내린 1만6천500원에...
15,4일 전,"[뉴스새벽배송]美정부, 포스트 팬데믹 전환 나서나…유가, 1%대↓","국제유가는 7거래일 만에 하락 전환하며 1%대 내렸다. 다음은 개장 전 주목할 만한 주요 뉴스다. 뉴욕증권거래소. (사진=로이터) 뉴욕증시, 기업 실적 발표 속 혼조…나스닥 0.58%↓ -현지시간 7일 뉴욕증권거래소(NYSE)..."
16,2일 전,"끓어오르는 유가, 150달러 찍나",Market Data 국제 유가가 치솟고 있다. 작년 3월만 해도 배럴당 50달러대에 머물렀던 서부 텍사스 원유(WTI)는 지난 4일 92.31달러를 찍었다. 2014년 10월 이후 7년 만에 90달러를 돌파한 것이다. 올해 들어 미국...
17,3일 전,유가 하락에 에너지株 일제히 약세…한국석유 6%↓ 중앙에너비스5%↓,국제유가가 내리면서 9일 국내 주식 시장에서 정유와 석유 등 에너지 관련주가 약세를 보이고 있다. 이날 오후 1시 기준 한국거래소에서 석유류 판매업체인 한국석유는 전일 대비 5.9% 내린 1만6800원에 거래되고 있다....
18,3일 전,"정부, 고유가에 유류세 인하기간 연장 등 검토","박기영 산업부 제2차관은 회의에서 ""국제유가 상승세가 지속될 경우 4월까지 시행 예정인 유류세 인하 기간의 연장 등 국민 경제 부담 완화 방안에 대해 기획재정부 등 관계부처와 지속적으로 협의해나가겠다""고..."
19,1일 전,"유가·정제마진 상승에…정유4사, 5조 적자서 7조 흑자로 '대반전'",국제유가와 정제마진이 동반 상승한 데 힘입어 영업이익이 2020년 5조원 규모의 적자에서 지난해 7조원대 흑자로 반전하는 데 성공했다. 점차 석유제품 수요가 정상화하면서 정유 4사가 올해에도 좋은 실적을 낼...
20,1일 전,"고유가 믿고 석유株 끌고갈까, 반등한 친환경株로 갈아탈까","나타샤 카네바 JP모건 글로벌 상품 전략 책임자는 8일 보고서를 통해 ""다른 지역 내 원유 예비 생산 능력이 부족한 상황에서 러시아 석유 공급이 줄면 국제 유가가 배럴당 120달러까지 치솟을 수 있으며, 특히 우크라이나..."
21,4일 전,"[OK!제보] 또 치솟는 기름값…화물차주들 ""유가보조금 다시 올려달라""",현재 국제유가가 뉴욕상업거래소의 서부텍사스산 원유 기준 배럴 당 90달러를 돌파했고 원/달러 환율도 1천200원 선을 넘었다. 이에 따라 덩달아 높아진 석유 수입 비용이 국내 유가에 반영됐다. 정인교 인하대...
22,3일 전,"[국제유가] 이란 핵합의 타결 기대감에 하락… WTI, 2.15%↓",국제유가는 미국과 이란의 핵 합의(JCPOA) 복원을 위한 회담을 앞두고 하락했다. 8일(현지시각) 뉴욕상업거래소에서 3월물 서부텍사스산원유(WTI) 가격은 전거래일 대비 1.96달러(2.15%) 하락한 배럴당 89.36달러에 거래를...
23,4일 전,"동반 급등하는 유가·정제마진…정유업계, 웃음 속 긴장감도",2월 첫주 정제마진 배럴당 7.5달러까지 상승…국제유가 90달러 돌파 정유사에 고유가 장기화는 리스크…석유화학 시황은 저점 지나는 중 지난해까지 지지부진했던 정유사의 수익성 지표인 정제마진이 올해 들어...
24,1일 전,흔들리는 경상수지…출렁이는 유가에 '벌벌',"국제유가와 같은 원자잿값 상승에 수출보다 수입이 더 빠르게 늘고 있어서인데 지난해 12월의 경우 흑자폭이 1년 전에 비해 반 토막이 났습니다. 강미선 기자입니다. <기자> 지난해 11월 유류세 인하로 1,600원대 초반까지..."
25,2일 전,[국제유가] 美 재고 하락과 수요 확대에 상승,미국 원유 재고 하락과 수요 확대로 국제유가가 상승했다. 9일 현지 시각 로이터통신 등 외신에 따르면 뉴욕상업거래소에서 3월물 서부텍사스산원유(WTI) 가격은 전장 대비 0.30달러(0.3%) 오른 배럴당 89.66달러에 거래를...
26,2일 전,엇갈린 유가전망… “2분기 100달러 돌파” vs “93달러 그칠것”,복합 악재의 트리거로 평가되는 국제유가가 100달러를 넘을 경우 한국 경제에 치명타를 가한다는 분석과 함께 100달러 밑에서 최고점을 찍은 뒤 상승이 완화 흐름을 보일 것이라는 전망도 나온다. 금융투자업계...
27,2일 전,"JP모건 ""러-우크라 위기 고조 시 유가 120~150달러 간다""","기사내용 요약러, 미국·유럽 등 제재에 에너지 수출 무기화할 수도 러시아와 우크라이나 간 긴장 악화로 원유 수출이 중단될 경우 국제유가가 배럴당 120달러까지 치솟을 수 있다는 전망이 나왔다. CNN비즈니스 등은..."
28,3일 전,[국제유가] 이란 핵합의 재개에 하락… WTI 2.15%↓,뉴데일리 이연춘 기자 = 미국과 이란의 핵 합의(JCPOA) 복원을 위한 회담을 앞두고 국제유가가 하락했다. 8일 현지시간 뉴욕상업거래소(NYMEX)에서 서부텍사스산원유(WTI) 가격은 전장보다 1.96달러(2.15%) 하락한 배럴당...
29,3일 전,코스피 어디로…SK하이닉스·유가에 물어봐,하이닉스 따라 널뛰는 이익 전망 유안타증권은 8일 유가증권시장 이익 전망치의 향방을 가늠하는 지표로 SK하이닉스 실적과 국제 유가를 꼽았다. 유가증권시장 상장 기업의 올해 영업이익 전망치는 지난해 10월 고점을...
30,2일 전,국제유가 하락 이틀만에 소폭 상승…WTI 89.66달러,로이터=연합뉴스 국제유가는 9일(현지시간) 미국의 원유 재고가 줄었다는 소식에 상승 마감됐다. 국제유가는 이란 핵합의 복원 협상 재개 소식에 7일과 8일 이틀 연속 하락한 뒤 이날 소폭 상승했다. 이날...
31,2일 전,"한국 경제 원유의존도 OECD 1위…""고유가 시대 대비해야""",국제유가 상승이 장기화되면 산업경쟁력에 미치는 영향이 커 개선이 시급하다는 의견이 제기된다 9일 현대경제연구원에 따르면 2020년 기준으로 한국 경제의 원유의존도(GDP대비 원유소비량)는 37개 OECD 회원국 중 1위로...
32,3일 전,"환율·유가·금리 ‘新3고 현상’... 2월 소비자물가 상승률, 4%대 진입 ‘경...","여기에 이미 배럴 당 90달러를 넘어선 국제유가로 인해 2월 국내 기름값의 추가 인상도 예고되고 있다. 또 가스 등 원자잿값 급등으로 농수산물, 공공요금 인상 압력도 점차 거세지고 있다. 이미 국민들 사이에서는..."
33,5일 전,"유류세 인하 약발 끝? 국제유가 고공행진, 천장 모르는 기름값","최근 국제유가가 고공행진을 이어가면서 유류세 인하 효과를 상쇄하는 것으로 풀이된다. 6일 한국석유공사 유가정보 사이트 오피넷의 가격 동향에 따르면, 이달 첫째 주 전국 주유소 휘발유 평균가격은 직전주보다 15...."
34,3일 전,치솟는 유가·물가에 변동성 장세…“하반기 반등 준비할 때”,국제유가는 현지시간으로 지난 7일 기준 7거래일 만에 하락했으나 여전히 91.32달러를 기록하며 90달러 선을 웃돌고 있다. 나아가 우크라이나를 놓고 미국과 러시아 간의 긴장감은 점차 고조되고 있는 상황이다....
35,1일 전,"1년간 70% 올랐다…고유가에 에너지섹터 ETF, XLE '활짝'[오민지의 글로벌ETF...",<앵커> 일단 국제유가가 얼마나 올랐는지 궁금한데요. 얼마나 많이 올랐나요? <기자> 지난주에 3대 국제유가가 모두 배럴당 90달러 선을 돌파했습니다. 7년 만에 최고치입니다. 아시는 것처럼 코로나 이후 경기...
36,7일 전,유가 급등에 전력도매가 200원대 급등…전기요금 인상 압박 가중,LNG 열량단가 30% 인상에 SMP 올해 들어 최고…역대 최고치 찍나 국제유가 급등으로 한국전력이 발전사에서 사들이는 전력도매가격(SMP)이 200원대까지 치솟으며 올해 들어 최고치를 기록했다. 5일 전력거래소에...
37,6일 전,유가·환율·금리 '삼중고'…통제불가 대외변수 민생 압박한다,국제유가가 단기간에 이처럼 큰 폭으로 오른 것은 러시아의 우크라이나 침공 가능성과 아랍에미리트(UAE) 석유 시설 드론 공격 등 지정학적 변수가 지대한 영향을 미쳤다. 모두 우리나라의 손이 닿지 않는 영역이다....
38,4일 전,"이란 핵협상 재개, 국제유가 소폭 하락 '기름값 좀 떨어지려나'",유류세 인하로 안정세를 보이던 기름값이 국제유가 상승으로 7년만에 최고수준을 보이고 있다. 2월 첫째주 주유소 휘발유 판매 가격은 전주 대비 165.2원 오른 1667.6원으로 3주 연속 상승했다. 8일 전국 평균...
39,7일 전,국제유가 따라가는 휘발윳값…3주연속 상승,국제유가 상승의 영향으로 국내 휘발유 가격도 3주 연속 상승세를 이어갔습니다. 오늘(5일) 한국석유공사 유가정보사이트 오피넷에 따르면 이달 첫째주 전국 주유소 휘발유 판매 가격은 지난주보다 15.2원 오른...
40,6일 전,국제유가 고공행진에…휘발유값 3주 연속 상승,국제유가가 급등한 영향으로 휘발유 가격이 3주 연속 올랐습니다. 한국석유공사에 따르면 전국 주유소 휘발유 판매 가격은 지난주보다 15.2원 오른 리터당 1667.6원으로 집계됐습니다. 정부가 역대 최대 폭으로 유류세를...
41,5일 전,"'유류세 인하' 약발 끝?...국제유가 뛰며 휘발윳값 1,800원 돌파 전망","지난해 말 역대 최대폭의 유류세 인하 조치 이후 내려가던 기름값이 최근 국제유가 상승에 다시 빠른 속도로 오르고 있습니다. 휘발윳값은 조만간 1,800원을 넘어갈 거란 전망이 나옵니다. 취재기자 연결합니다. 권남기..."
42,3일 전,"유가 급등에 치솟는 물가…정부, '원유관세' 인하도 검토","박기영 산업부 제2차관은 ""향후 국제유가 상승세가 지속될 경우 4월까지 시행 예정인 유류세 인하 기간 연장 등 국민경제 부담 완화 방안에 대해 기재부 등 관계부처와 지속적으로 협의해나갈 것""이라고 밝혔다. 현재..."
43,4일 전,"전문가들 ""국제유가 100달러 시간 문제…150달러 가능성도""","미국 중서부지역 한파 강타, 주요 산유국의 더딘 증산 등으로 공급 차질 우려가 커지면서 국제유가가 7년만에 배럴당 90달러를 돌파했다. 전문가들은 이 같은 문제를 단시간에 해결하기는 어려운 만큼 유가가 배럴당..."
44,2일 전,치솟는 국제유가에 유류세 인하연장 검토,"박기영 산업부 제2차관은 회의에서 ""국제유가 상승세가 지속될 경우 4월까지 시행 예정인 유류세 인하 기간의 연장 등에 대해 기획재정부 등 관계부처와 지속적으로 협의해나가겠다""고 말했다. 비상시 석유수급..."
45,4일 전,"이란 핵협상 재개에 국제유가 하락, WTI 91.32달러","로이터=연합뉴스 국제유가가 7년여만에 최고치를 기록한 가운데, 이란 핵 협상 재개 소식에 소폭 하락했다. 로이터통신은 7일(현지시간) 미국과 이란의 핵합의 복원을 위한 협상이 8일(현지시간) 열릴 전망이라며..."
