,날짜,제목,요약
0,2017.10.10.,"국제유가, OPEC 감산확대 가능성에 강세…WTI 0.58%↑",국제유가는 9일(현지시간) 강세를 보였다. 이날 뉴욕상품거래소(NYMEX)에서 서부 텍사스산 원유(WTI) 11월 인도분은 전거래일보다 배럴당 0.29달러(0.58%) 오른 49.58달러에 마감했다. 런던 ICE 선물거래소의 브렌트유도...
1,2017.10.10.,국제유가 상승·美 허리케인 등 호재…정유 3분기 호황,여기에 국제유가가 꾸준히 오르고 있다는 점도 정유업계에 유리한 요인이다. 최근 두바이유 가격이 50달러대 중반을 기록하는 등 국제 유가는 최근 몇 달간 20~30% 가량 올랐다. 유가가 오르면 정유사가 미리 들여온...
2,2017.10.10.,[국제유가] OPEC 감산 연장 기대감… WTI 0.6%↑,본문 이미지 영역 국제유가 전망. /사진=머니투데이 DB 국제유가가 석유수출국기구(OPEC)의 감산 조치가 보다 장기간 진행될 것으로 기대되면서 상승했다. 9일(현지시간) 서부텍사스원유(WTI) 11월물은 0.29달러(0.59...
3,2017.10.10.,[국제유가] '감산 연장-규모 확대' 가능성에 '상승'… WTI 49.58달러,[뉴데일리-윤희성 기자] 국제유가가 ▲석유시장 재균형 가능성 ▲OPEC 감산기간 연장 내지 규모 확대 가능성 ▲달러화 약세 등의 영향으로 상승했다. 10일 한국석유공사에 따르면 9일(현지시간) 뉴욕 상업...
4,2017.10.10.,들썩이는 국제유가… OPEC 총회가 분수령,계절적 수요 증가로 상승세 지속 내년 석유시장 혼돈 막기 위해 '감산 합의' 연장할 가능성 높아 현가격 수준서 큰 변동 없을 듯 국제유가가 최근 상승세를 이어가면서 향후 유가 흐름에 관심이 쏠리고 있다....
5,2017.10.10.,"뉴욕증시, 실적발표 앞두고 하락...국제유가는 상승",반면 국제유가는 강세를 보였다. 이날 뉴욕증권거래소에서 다우존스 산업평균지수는 전거래일보다 12.60포인트(0.06%) 하락한 2만2761.07로 장을 마쳤다. 스탠더드앤드푸어스(S&P) 500 지수는 4.60포인트(0.18%) 떨어진...
6,2017.10.10.,"대한항공 아시아나항공, 국제유가 상승 탓에 4분기 수익 나빠져","대한항공과 아시아나항공이 국제유가 상승 탓에 4분기 수익성이 나빠질 것으로 전망됐다. 이한준 KTB투자증권 연구원은 10일 ""4분기 항공유 투입가격은 배럴당 67달러로 지난해 4분기보다 9.3% 오른 수준을 보일 것..."
7,2017.10.07.,국제유가 공급과잉 우려 급락…WTI 2.9%ㆍ브렌트유 2.2% ↓,"[헤럴드경제] 국제유가가 공급과잉 우려 증폭으로 급락세르르 보였다. 6일(현지시간) 뉴욕상품거래소(NYMEX)에서 서부텍사스산 원유(WTI) 11월 인도분은 전날보다 2.9%(1,50달러) 내린 배럴당 49.29달러에 거래를..."
8,2017.10.08.,휘발유 가격 '국제유가 상승으로 11주 연속 상승세',국제유가 상승으로 주유소에서 판매하는 휘발유와 경유 가격이 11주 연속 상승하고 있다. 이날 한국석유공사가 운영하는 유가정보사이트 '오피넷'에 따르면 지난 6일 주유소에서 판매하는 보통휘발유...
9,2017.10.10.,"조선업계, 고유가 기대감... 해양플랜트 발주 꿈틀","이투데이=안경무 기자 | 국제유가 상승이 예상됨에 따라 쉐브론, 로열더치셸 등 글로벌 석유 업체들의 해양플랜트 발주가 본격화되고 있다. 국내 대형 3사인 현대중공업, 삼성중공업, 대우조선해양은 해양플랜트 수주를..."
10,2017.10.10.,사우디 석유 수출까지 줄이며 유가 압박,"뉴욕상업거래소(NYMEX)에서 서부텍사스산원유(WTI) 11월물이 지난주말보다 배럴당 29센트(0.58%) 오른 49.58달러에 마감했고, 국제유가 기준물인 북해산 브렌트유 근월물 역시 런던시장(ICE)에서 7센트(0.13%) 상승한 55...."
11,2017.10.06.,국제유가 '감산 연장' 가능성에 상승…WTI 50달러 회복,국제유가가 5일(현지시간) 올랐다. 뉴욕상품거래소(NYMEX)에서 서부텍사스산 원유(WTI) 11월 인도분은 전날보다 배럴당 1.6%(0.81달러) 오른 50.79달러에 거래를 마쳤다. 런던 ICE 선물거래소의 브렌트유 12월물도...
12,2017.10.10.,"'원자재 왕' 가트먼, 유가 하락으로 전망 변경","'원자재의 왕'으로 불리는 가트먼은 지난달 국제유가가 배럴당 55달러로 상승할 수 있다고 말했으나 이날 기존 입장을 번복했다. 그는 ""현재 상황이 계속된다면 유가는 하락세를 이어갈 것""이라며 ""한 달 반 전까지만..."
13,2017.10.10.,"<연합인포맥스 폴①> 유가, 4분기 51달러…횡보 전망",(서울=연합인포맥스) 신윤우 기자 = 국제유가는 4분기에 배럴당 50달러 수준에 머물며 횡보할 것으로 예상됐다. 석유수출국기구(OPEC)의 감산 연장 여부에 이목이 쏠리는 가운데 미국의 원유 생산이 하방 압력을...
14,2017.10.05.,"국제유가, 공급과잉 우려에 하락…WTI 50달러 밑으로",국제유가가 4일(현지시간) 내렸다. 뉴욕상품거래소(NYMEX)에서 서부텍사스산 원유(WTI) 11월 인도분은 전날보다 배럴당 0.9%(0.44달러) 떨어진 49.98달러를 기록했다. 런던 ICE 선물거래소의 브렌트유 12월물도 배럴당 0....
15,2017.10.09.,"추석 연휴 뒤 미국산 국제 유가, 50달러 공방 지속될까",것은 국제 유가다. 미국산 유가가 다시 배럴당 50달러 선을 넘어설 것이냐가 '관전 포인트'다. 9일 주요 외신에 따르면 최근 글로벌 국제 유가가 다시 방향성을 놓고 갈팡지팡 하고 있다. 미국산 유가가 배럴당 50달러...
16,2017.10.04.,"국제유가, 공급과잉 우려에 소폭 하락…WTI 0.3%↓",정유시설 [AFP=연합뉴스 자료사진] 국제유가가 3일(현지시간) 하락했다. 이날 뉴욕상품거래소(NYMEX)에서 서부텍사스산 원유(WTI) 11월 인도분은 전날보다 배럴당 0.16달러(0.3%) 내린 50.42달러에 거래를 마쳤다. 런던...
17,2017.10.10.,국제 유가 살짝 반등...미국산 유가는 50달러 회복 실패,원유 감산 기대에 소폭 상승...미국 정유주는 대부분 상승 [초이스경제 이미애 기자] 9일(미국시각) 국제 유가가 직전 거래일의 급락세를 뒤로 하고 소폭 반등했다. 그러나 미국산 유가는 배럴당 50달러 회복에...
18,2017.10.10.,국제유가 공급과잉 우려에 급락…WTI 2.9%↓,[한스경제 김지호] 국제유가가 급락했다. 6일(현지시간) 뉴욕상품거래소(NYMEX)에서 서부텍사스산 원유(WTI) 11월 인도분은 전날보다 2.9%(1.50달러) 내린 배럴당 49.29달러에 거래를 마쳤다. 원유 감산연장 가능성과...
19,2017.10.08.,"기름값, 국제유가 상승 여파로 1500원대 넘어 오름세",국제유가가 오른 탓으로 분석된다. 8일 한국석유공사가 유가정보사이트 '오피넷'에 올린 자료에 따르면 8일 기준 국내 주유소에서 판매하는 휘발유 가격은 리터당 평균 1502.37원인 것으로 파악됐다. 경유는 1292....
