,날짜,제목,요약
0,2019.12.10.,"국제유가, 中수출 부진 속 약보합…WTI 0.3%↓",이준서 특파원 = 국제유가는 9일(현지시간) 약보합세를 나타냈다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부 텍사스산 원유(WTI)는 전 거래일보다 배럴당 0.3%(0.18달러) 하락한 59.02달러에 거래를...
1,2019.12.10.,"국제유가, 중국 수출 부진에 하락 마감",민지현 특파원 = 지난달 중국의 수출이 4개월 연속 감소함에 따라 세계 원유 수요에 대한 우려가 부각되면서 국제유가는 9일(현지시간) 하락했다. 뉴욕상업거래소(NYMEX)에서 거래되는 1월 인도분 서부 텍사스산원유...
2,2019.12.10.,[원유마감]유가 하락…中 우려 등에 WTI 0.3%↓,9일(현지시간) 국제유가가 하락했다. 마켓워치에 따르면 이날 뉴욕상업거래소(NYMEX)에서 서부텍사스산원유(WTI) 선물은 전 거래일보다 0.18달러(0.3%) 내린 59.02달러에 거래를 마쳤다. 국제유가 기준점인 브렌트유...
3,2019.12.10.,"유가 하락, WTI 59.02달러…중국 수출지표 부진",국제유가가 중국 수출지표 부진 영향으로 하락했다. 10일 한국석유공사에 따르면 9일 기준 미국 서부텍사스산중질유(WTI) 가격은 전일 대비 배럴당 0.18달러 내려간 59.02달러를 기록했다. 영국 북해산 브랜트유...
4,2019.12.10.,내년 유가반등 어렵지만 정유주는 ‘핑크빛’,"국제유가가 주요 산유국의 추가 감산에도 미중 무역전쟁 영향으로 박스권에 갇힐 것으로 예상되지만, 국내 정유주는 국제해사기구 환경규제(IMO2020)를 앞두고 반등태세를 갖춰 향방에 관심이 쏠린다. 10일..."
5,2019.12.10.,"OPEC+, 감산량 확대… “내년 국제유가 오른다”",브라보마이라이프=박성필 기자 | 최근 약보합세를 보이던 국제유가가 상승세를 나타낼 것으로 예상된다. 지난 5~6일 양일간 열린 석유수출국기구(OPEC)-비OPEC 산유국에서 내년 3월까지 일평균 50만배럴 추가 감산을...
6,2019.12.07.,전국 휘발유값 3주째 상승 ‘ℓ당 1539.8원’…국제유가는 하락,상승세를 보이던 국제유가는 하락했지만 전국 주유소 휘발유 가격은 3주 연속 상승세를 이어갔다. 경유 가격도 2주 연속 소폭 상승했다. 7일 한국석유공사 유가정보서비스 오피넷에 따르면 12월 첫째 주 휘발유...
7,2019.12.10.,[유가마감] 中 수출 넉달째 감소…WTI 0.3%↓,국제유가가 하락했다. 중국의 수출이 4개월 연속 줄었다는 소식에 석유 수요 둔화 우려가 높아졌다. 9일(현지시간) 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부텍사스산원유(WTI)는 전날보다 18센트(0.3%) 떨어진...
8,2019.12.09.,"""OPEC+, 내년부터 감산량 확대…국제유가 상승 요인""","주요 산유국들이 내년부터 하루 50만배럴을 추가 감산하기로 합의하면서 국제유가 상승 요인으로 작용할 것이란 분석이 나왔다. 이번 감산량이 기존 감산량에 더해진데다, 미국의 셰일가스 공급도 완만하게..."
9,2019.12.09.,OPEC+ 산유국 170만 배럴 감산확대에도…국제유가 반등은 제한적,전문가들은 글로벌 원유시장의 재균형 가능성을 회의적으로 보면서 국제유가가 반등에 나서기에는 어려울 것으로 전망했다. 앞서 OPEC+ 산유국들은 이달 6일(현지시간) 오스트리아 빈에서 회의를 열고 감산규모를 현행...
