,날짜,제목,요약
0,2018.03.10.,국제유가 사흘만에 반등…WTI 3.2%↑,국제유가는 9일(현지시간) 사흘 만에 반등했다. 이날 뉴욕상품거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 3.2%(1.92달러) 급등한 62.04달러에 거래를 마쳤다. 런던 ICE 선물거래소의...
1,2018.03.09.,"국제유가, 이틀째 하락..WTI 1.7%↓",[뉴욕= 국제유가는 8일(현지시간) 이틀째 하락세를 보였다. 뉴욕상품거래소(NYMEX)는 이날 4월 인도분 서부 텍사스산 원유(WTI)는 전 거래일보다 배럴당 1.7%(1.03달러) 내린 60.12달러에 거래를 마쳤다고 밝혔다. 런던...
2,2018.03.08.,"국제유가, 무역전쟁 우려에 하락…WTI 2.3%↓",국제유가는 7일(현지시간) 글로벌 무역전쟁 우려로 나흘 만에 내림세로 돌아섰다. 이날 뉴욕상품거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 2.3%(1.45달러) 내린 61.15달러에 거래를...
3,2018.03.10.,"국제유가, 트럼프-김정은 만남 낙관에 상승",[뉴욕=뉴스핌 김민정 특파원]  국제유가가 9일(현지시간) 상승했다. 도널드 트럼프 미국 대통령이 김정은 북한 노동당 위원장의 회담 제의를 받아들이면서 투자 심리가 지지됐다. 미국 텍사스주 유전 <사진...
4,2018.03.09.,[국제유가] 美 생산량 증가 영향 하락… 'WTI 60.12달러',"[뉴데일리-송승근 기자] 국제유가가 세계 최대 수요처인 미국의 생산량 증가 소식과 쿠싱 지역 재고 증가 등의 영향으로 일제히 하락했다. 9일 한국석유공사에 따르면, 8일(현지시각) 뉴욕상업거래소(NYMEX)의..."
5,2018.03.09.,"[국제유가] WTI, 60달러선 턱걸이…달러 강세 + 무역전쟁 우려","[국제유가] WTI, 60달러선 턱걸이…달러 강세 + 무역전쟁 우려 국제유가는 8일(현지시간) 전날에 이어 하락세를 이어갔다. 달러화가 강세를 나타낸 가운데 미국 쿠싱 지역의 원유 재고 증가 신호와 미국의 산유량 증가..."
6,2018.03.09.,8일 국제 유가 하락,"8일 국제 유가는 미국 원유 생산량 증가, 미국 쿠싱 지역 원유 재고 증가, 중국 원유 수입 감소, 미국 달러화 강세 등의 영향으로 하락했고 2018년 세계 석유 수요 전망 유지 등은 하락폭을 제한했다.  "
7,2018.03.09.,"국제유가, 미 재고·생산 증가 부담에 하락",[뉴욕=뉴스핌 김민정 특파원]  국제유가가 8일(현지시간) 하락했다. 미국의 원유 재고와 생산이 증가했다는 소식이 계속해서 유가를 압박했다. 원유<사진=블룸버그> 뉴욕상업거래소(NYMEX)에서 거래된 4월 인도분...
8,2018.03.07.,"[원자재시황] 국제유가, 달러 강세에 소폭 하락",국제유가는 6일(현지시간) 소폭 올랐다. 이날 뉴욕상품거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 0.1%(3센트) 오른 62.60달러에 거래를 마쳤다. 런던 ICE 선물거래소의 5월물...
9,2018.03.06.,"""원유 수요 살아 있다""...국제유가 상승",[서울경제] 국제유가는 5일(현지시간) 향후 수가 꾸준히 증가할 것이라는 전망에 상승세를 이어갔다. 이날 뉴욕상품거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 배럴당 2.2%(1.32달러) 오른 62.57달러에...
