,날짜,제목,요약
0,2019.10.10.,"국제유가, 보합권서 혼조…WTI 0.08%↓",이귀원 특파원 = 국제유가는 9일(현지시간) 보합권에서 혼조세를 나타냈다. 이날 뉴욕상업거래소(NYMEX)에서 11월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 0.08%(0.04달러) 내린 52.59달러에 거래를 마쳤다....
1,2019.10.09.,"국제유가, 미중 협상 난기류 속 하락…WTI 0.2%↓","국제유가는 현지시간으로 어제(8일) 소폭 하락했습니다. 이날 뉴욕상업거래소(NYMEX)에서 11월 인도분 서부 텍사스산 원유는 전날보다 배럴당 0.2%, 0.12달러 하락한 52.63달러에 거래를 마감했습니다. 런던 ICE..."
2,2019.10.10.,[국제유가] 무역협상 기대에도 美 재고 증가 WTI 0.08% 하락,국제 유가는 미·중 무역협상에 대한 기대에도 원유 재고가 예상보다 더 증가한 영향으로 소폭 하락했다. 9일 뉴욕상업거래소에서 11월물 서부 텍사스산 원유(WTI) 가격은 배럴당 0.04달러(0.08%) 하락한 52.50달러에 장을...
3,2019.10.08.,"국제유가, 보합권 등락...WTI 0.1%↓",국제유가가 보합권에서 등락했습니다. 뉴욕상업거래소(NYMEX)에서 11월 인도분 서부텍사스유(WTI)는 전 거래일보다 배럴당 0.1% 하락한 52.75달러에 거래를 마쳤습니다. 런던 ICE 선물거래소에서 브렌트유 선물은...
4,2019.10.10.,[국제유가] '시리아 공습-달러화 약세' 보합…'WTI 52.59달러',"뉴데일리 송승근 기자 = 국제유가가 터키의 시리아 공습, 미 달러화 약세 영향 속에서 보합을 나타냈다. 10일 한국석유공사에 따르면 9일(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된 서부텍사스산원유(WTI)는 전일..."
5,2019.10.10.,[유가마감] 터키 쿠르드 공격+美원유재고 급증에 갈팡질팡,국제유가가 혼조세를 보였다. 터키의 쿠르드족 공격이 개시되며 지정학적 불안이 고조된 가운데 미국의 원유 재고 급증 소식이 엇갈리면서다. 9일(현지시간) 뉴욕상업거래소(NYMEX)에서 11월 인도분 WTI...
6,2019.10.10.,"국제유가, 연준 의사록에 상승분 반납…혼조 마감",민지현 특파원 = 국제유가가 9일(현지시간) 혼조 마감했다. 미·중 무역협상에 대한 기대감으로 상승하던 유가는 이날 공개된 미 연방준비제도(Fed·연준)의 연방공개시장위원회(FOMC) 의사록에서 미국 경제에 대한 연준...
7,2019.10.10.,"[국제유가 포커스] 원유시장 뚜렷한 수요둔화에도...OPEC+ ""균형 갖췄다""",산유국들이 최근 국제유가 하락세에도 추가 감산을 시행하지 않겠다는 입장을 고수했다. 국제유가는 지난달 세계 최대 원유수출국인 사우디아라비아의 국영 석유회사 ‘아람코’ 원유 시설에 대한 예멘 반군의...
8,2019.10.08.,[종합] 상품수지 5년7개월래 최소…유가·반도체 단가 하락," 우리나라 8월 경상수지가 흑자를 유지했지만, 국제유가와 반도체 가격이 하락하면서 상품수지는 5년7개월만에 최소치를 기록했다. 8일 한국은행이 발표한 '2019년 8월 국제수지(잠정)'에 따르면 8월..."
9,2019.10.10.,"뉴욕증시,미·중 무역협상 기대 다우 0.7%↑…국제유가 WTI 0.08%↓",국제유가는혼조세를 나타냈다. 이날 뉴욕상업거래소(NYMEX)에서 11월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 0.08%(0.04달러) 내린 52.50달러에 거래를 마쳤다. 런던 ICE 선물거래소의 12월물 브렌트유는...
